fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220526 064456	-0.561542345616908	2302	785	12	5	10727000	1
20220526 064535	-0.782456385600381	6693	1612	8	5	8266000	2
20220526 064621	-0.14720083167922	3906	887	11	5	9592000	3
20220526 064705	-0.38813866951532	6034	1098	15	5	9589000	4
20220526 064805	-0.983652141131461	3066	241	16	5	10163000	5
20220526 064851	-0.327487754856702	4525	33	9	5	8982000	6
20220526 064944	-0.512762030868907	1753	550	15	5	10335000	7
20220526 065025	-0.290325593587477	7904	1217	13	5	7913000	8
20220526 065047	-0.230124806614185	7426	269	3	5	8017000	9
20220526 065126	-0.868094034089882	5303	1700	8	5	8477000	10
20220526 065200	-0.0197090715490048	4242	1998	6	5	8803000	11
20220526 065246	-0.69575214827637	5672	749	20	5	9452000	12
20220526 065327	-0.967472336650826	5339	1637	10	5	8360000	13
20220526 065418	-0.0803273322700988	7060	357	15	5	8052000	14
20220526 065507	-0.542902686831076	5179	528	16	5	9373000	15
20220526 065557	-0.999091716040857	7596	170	12	5	8098000	16
20220526 065647	-0.40151211736143	2593	760	20	5	10214000	17
20220526 065716	-0.747161081137786	2265	510	4	5	9831000	18
20220526 065806	-0.697129897826292	2393	959	14	5	10492000	19
20220526 065859	-0.484445304380394	2506	480	13	5	10147000	20
20220526 065950	-0.421886866767334	2140	1068	13	5	10412000	21
20220526 070122	-0.999997116624647	14	2	18	5	5944000	22
20220526 070212	-0.578398191773926	2238	904	20	5	10730000	23
20220526 070300	-0.589938480957557	3134	1225	20	5	9149000	24
20220526 070350	-0.575583934298323	2253	1123	15	5	10066000	25
20220526 070441	-0.513666622427846	1967	854	15	5	10139000	26
20220526 070531	-0.00455110776534992	2246	896	13	5	10631000	27
20220526 070624	-0.410703704571873	2208	685	20	5	10258000	28
20220526 070712	-0.490950835556082	2261	892	10	5	10741000	29
20220526 070803	-0.458316798771413	2296	867	14	5	10718000	30
20220526 070853	-0.988070819200925	2250	841	13	5	10668000	31
20220526 070941	-0.751181922403505	3115	603	10	5	9993000	32
20220526 071004	0.099582717443143	1555	405	12	5	0	33
20220526 071050	-0.0898067024338743	2550	1203	9	5	9153000	34
20220526 071143	-0.606441055812518	2387	598	20	5	10602000	35
20220526 071233	-0.0843515712900321	2370	976	19	5	10495000	36
20220526 071322	-0.562022788234236	2898	923	13	5	10158000	37
20220526 071359	-0.255362172162648	2326	912	6	5	10745000	38
20220526 071451	-0.953138602071238	2348	717	20	5	10445000	39
20220526 071541	-0.999186613617573	2336	1002	20	5	10526000	40
20220526 071627	-0.519375430811991	2334	650	9	5	10463000	41
20220526 071721	-0.849280898160209	1747	675	19	5	10091000	42
20220526 071744	0.010225316715644	2369	965	3	5	0	43
20220526 071829	-0.0190847721890822	3689	1837	15	5	8507000	44
20220526 071906	-0.388481599872393	1736	850	6	5	9913000	45
20220526 071954	-0.950415077872036	3987	906	16	5	9595000	46
20220526 072044	-0.0598707490910286	2302	957	14	5	10492000	47
20220526 072143	-0.57101544996584	1076	380	20	5	10366000	48
20220526 072234	-0.0136305972862658	2211	885	19	5	10741000	49
20220526 072323	-0.255695251991881	2253	965	11	5	10492000	50
20220526 072412	-0.639882977102052	1658	679	10	5	10383000	51
20220526 072452	-0.27175476915031	3235	1616	7	5	8454000	52
20220526 072538	-0.244385829920913	1748	391	8	5	10681000	53
20220526 072630	-0.72736614369421	2050	714	20	5	10577000	54
20220526 072720	-0.458687508939674	1322	644	10	5	10291000	55
20220526 072814	-0.19634529589664	2181	617	19	5	10418000	56
20220526 072900	-0.99988182062107	4367	977	12	5	9736000	57
20220526 072923	0.0995132486799229	4460	1080	6	5	0	58
20220526 072956	-0.985196974841687	2344	570	5	5	10272000	59
20220526 073041	-0.260563603036421	1666	761	8	5	10378000	60
20220526 073115	-0.573618765483264	2037	1012	5	5	10319000	61
20220526 073209	-0.58219050546363	1434	648	17	5	10262000	62
20220526 073250	-0.810810341636454	2108	1054	7	5	10172000	63
20220526 073352	-0.244224425545635	2160	182	15	5	9555000	64
20220526 073438	-0.0158316156509946	4693	1118	13	5	9786000	65
20220526 073533	-0.999804310063969	2478	540	15	5	9924000	66
20220526 073628	-0.907704603375391	2168	339	12	5	10295000	67
20220526 073713	-0.972818644694708	1684	842	8	5	9936000	68
20220526 073737	-0.892317299264335	3131	106	3	5	8377000	69
20220526 073825	-0.575246388366546	1998	995	10	5	10063000	70
20220526 073912	-0.212037278828559	2299	724	9	5	10657000	71
20220526 073945	-0.460402931423276	2346	925	5	5	10428000	72
20220526 074043	-0.792100431675988	2342	316	14	5	10352000	73
20220526 074131	-0.975258990679235	2770	1200	11	5	9154000	74
20220526 074208	-0.241842167425211	2648	433	6	5	10080000	75
20220526 074242	-0.456369913328816	7953	1019	6	5	7913000	76
20220526 074330	-0.224109348638284	1817	907	9	5	10115000	77
20220526 074419	-0.0105841614565053	2421	1185	14	5	9715000	78
20220526 074515	-0.100474416993798	2251	457	20	5	10253000	79
20220526 074556	-0.0787971552462672	5505	2000	9	5	8705000	80
20220526 074648	-0.243867007823111	2187	489	11	5	10239000	81
20220526 074737	-0.0342189574902804	3439	813	20	5	9584000	82
20220526 074842	-0.663236851785656	2131	11	13	5	9422000	83
20220526 074923	-0.283821017678163	2005	1	7	5	9366000	84
20220526 075014	-0.766921760372193	1768	828	12	5	9884000	85
20220526 075052	-0.646012463359048	2389	794	6	5	10655000	86
20220526 075141	-0.809283547165636	2816	848	20	5	10245000	87
20220526 075301	-0.985834228334352	4908	2	19	5	9012000	88
20220526 075347	-0.437407164505997	4522	916	10	5	9736000	89
20220526 075441	-0.0531978542445059	1405	701	18	5	10033000	90
20220526 075525	-0.285161845401461	2565	883	8	5	10248000	91
20220526 075617	-0.0287510376871373	2267	680	13	5	10258000	92
20220526 075709	-0.349715276230799	2342	798	14	5	10655000	93
20220526 075759	-0.0609872273980202	2211	919	13	5	10734000	94
20220526 075823	-0.999504772300951	3600	1800	3	5	7823000	95
20220526 075921	-0.900386938795545	4743	290	20	5	9845000	96
20220526 075958	-0.850627624901181	2510	697	6	5	9815000	97
20220526 080053	-0.658179007672778	2231	546	15	5	10638000	98
20220526 080148	-0.968928226540334	3027	347	13	5	10215000	99
20220526 080238	-0.196871128233902	1376	286	9	5	10528000	100
20220526 080319	-0.705568136036849	1786	638	7	5	10214000	101
20220526 080353	-0.69643698741046	2348	1086	5	5	10241000	102
20220526 080444	-0.666550625863471	1811	904	20	5	10116000	103
20220526 080529	-0.999944272786195	7907	814	20	5	7913000	104
20220526 080622	-0.798094624903899	4937	393	13	5	9468000	105
20220526 080700	-0.246829161545767	556	274	6	5	9649000	106
20220526 080751	-0.301507738887235	2021	1007	19	5	10309000	107
20220526 080840	-0.481998695161763	2350	786	11	5	10727000	108
20220526 080914	-0.268610963892478	2459	1102	5	5	9912000	109
20220526 081001	-0.324857857100697	4835	869	20	5	9845000	110
20220526 081056	-0.584287765605319	2030	556	14	5	10526000	111
20220526 081149	-0.562915519339519	2041	702	20	5	10228000	112
20220526 081248	-0.719942528525807	2561	333	16	5	10301000	113
20220526 081351	-0.253287600792468	913	325	20	5	10538000	114
20220526 081448	-0.367225116140347	2087	364	19	5	10095000	115
