max_depth	min_split	ganancia_promedio
4	1000	9494444
4	800	9490000
4	600	9490000
4	400	9490000
4	200	9490000
4	100	9490000
4	50	9490000
4	20	9490000
4	10	9490000
4	1000	9400556
4	800	9342222
4	600	9342222
4	400	9316667
4	200	9316667
4	100	9316667
4	50	9316667
4	20	9316667
4	10	9316667
4	1000	9201667
4	800	9178889
4	600	9178889
4	400	9167778
4	200	9146667
4	100	9146667
4	50	9146667
4	20	9146667
4	10	9146667
4	1000	8803889
4	800	8784444
4	600	8784444
4	400	8742222
4	200	8771667
4	100	8771667
4	50	8771667
4	20	8771667
4	10	8771667
4	1000	8626667
4	800	8670000
4	600	8670000
4	400	8665556
4	200	8697222
4	100	8697222
4	50	8697222
4	20	8697222
4	10	8697222
4	1000	8602222
4	800	8645556
4	600	8645556
4	400	8644444
4	200	8644444
4	100	8644444
4	50	8644444
4	20	8650000
4	10	8650000
6	1000	9737778
6	800	10060000
6	600	10060000
6	400	10060000
6	200	10060000
6	100	10060000
6	50	10060000
6	20	10060000
6	10	10060000
6	1000	9822222
6	800	9926111
6	600	10004444
6	400	9781667
6	200	9781667
6	100	9781667
6	50	9781667
6	20	9781667
6	10	9781667
6	1000	9347778
6	800	9396667
6	600	9443333
6	400	9176667
6	200	9110000
6	100	9110000
6	50	9110000
6	20	9110000
6	10	9110000
6	1000	8768889
6	800	8863889
6	600	8902222
6	400	8708333
6	200	8800556
6	100	8811111
6	50	8811111
6	20	8811111
6	10	8811111
6	1000	9041667
6	800	9401667
6	600	9447778
6	400	9410000
6	200	9487222
6	100	9440556
6	50	9454444
6	20	9465556
6	10	9465556
6	1000	9818333
6	800	9758889
6	600	9839444
6	400	9825556
6	200	9912222
6	100	9971667
6	50	9951667
6	20	9953889
6	10	9953889
8	1000	9701667
8	800	9659444
8	600	9659444
8	400	9659444
8	200	9659444
8	100	9659444
8	50	9659444
8	20	9659444
8	10	9659444
8	1000	9870000
8	800	9861111
8	600	9289444
8	400	8796667
8	200	8796667
8	100	8796667
8	50	8796667
8	20	8796667
8	10	8796667
8	1000	9175000
8	800	9271111
8	600	8743333
8	400	8099444
8	200	7967778
8	100	7967778
8	50	7967778
8	20	7967778
8	10	7967778
8	1000	8446111
8	800	8357222
8	600	8286111
8	400	7767778
8	200	7835556
8	100	7867222
8	50	7867222
8	20	7867222
8	10	7867222
8	1000	8326111
8	800	8676111
8	600	8583889
8	400	8065556
8	200	7987778
8	100	8048889
8	50	8121111
8	20	8130556
8	10	8130556
8	1000	9498333
8	800	9506111
8	600	9647778
8	400	9396667
8	200	9458889
8	100	9540000
8	50	9485556
8	20	9518889
8	10	9518889
10	1000	9701667
10	800	9659444
10	600	9659444
10	400	9659444
10	200	9659444
10	100	9659444
10	50	9659444
10	20	9659444
10	10	9659444
10	1000	9819444
10	800	9621111
10	600	8973889
10	400	8201111
10	200	8201111
10	100	8201111
10	50	8201111
10	20	8201111
10	10	8201111
10	1000	8936667
10	800	8881111
10	600	7914444
10	400	7251667
10	200	6747222
10	100	6747222
10	50	6747222
10	20	6747222
10	10	6747222
10	1000	8054444
10	800	7866667
10	600	7761667
10	400	6976667
10	200	6592778
10	100	6722778
10	50	6722778
10	20	6722778
10	10	6722778
10	1000	8286111
10	800	8747778
10	600	8815556
10	400	7751667
10	200	7940556
10	100	7898333
10	50	8053889
10	20	7995000
10	10	7995000
10	1000	9508889
10	800	9619444
10	600	9694444
10	400	9337222
10	200	9441111
10	100	9541667
10	50	9505000
10	20	9516111
10	10	9516111
12	1000	9701667
12	800	9604444
12	600	9604444
12	400	9604444
12	200	9604444
12	100	9604444
12	50	9604444
12	20	9604444
12	10	9604444
12	1000	9819444
12	800	9621111
12	600	8924444
12	400	7848889
12	200	7848889
12	100	7848889
12	50	7848889
12	20	7848889
12	10	7848889
12	1000	8855556
12	800	8679444
12	600	7736667
12	400	7003889
12	200	6109444
12	100	6109444
12	50	6109444
12	20	6109444
12	10	6109444
12	1000	7610556
12	800	7367778
12	600	7157222
12	400	6051111
12	200	5297778
12	100	5068889
12	50	5068889
12	20	5068889
12	10	5068889
12	1000	7948889
12	800	8355556
12	600	8142778
12	400	6870556
12	200	6367222
12	100	6181667
12	50	6141667
12	20	6123333
12	10	6123333
12	1000	9038333
12	800	8938333
12	600	8924444
12	400	8414444
12	200	8115556
12	100	7919444
12	50	7927778
12	20	7991111
12	10	7991111
14	1000	9701667
14	800	9604444
14	600	9604444
14	400	9604444
14	200	9604444
14	100	9604444
14	50	9604444
14	20	9604444
14	10	9604444
14	1000	9819444
14	800	9621111
14	600	8924444
14	400	7848889
14	200	7848889
14	100	7848889
14	50	7848889
14	20	7848889
14	10	7848889
14	1000	8734444
14	800	8526667
14	600	7593333
14	400	6841111
14	200	5796111
14	100	5796111
14	50	5796111
14	20	5796111
14	10	5796111
14	1000	7713333
14	800	7506111
14	600	7306667
14	400	6105556
14	200	5125000
14	100	4582778
14	50	4582778
14	20	4582778
14	10	4582778
14	1000	7758333
14	800	8180556
14	600	7827222
14	400	6408889
14	200	5756667
14	100	5223889
14	50	5001111
14	20	4912222
14	10	4912222
14	1000	8683333
14	800	8630000
14	600	8396667
14	400	7827222
14	200	6939444
14	100	6357778
14	50	6395556
14	20	6447222
14	10	6447222
