max_depth	min_split	vmin_bucket	ganancia_promedio
6	800	200	9926111
6	800	250	10075000
6	800	300	10154444
6	800	350	9762778
6	800	400	10060000
6	820	200	9995556
6	820	250	10040000
6	820	300	10115556
6	820	350	9684444
6	820	400	9998889
6	840	200	9985000
6	840	250	10040000
6	840	300	10115556
6	840	350	9684444
6	840	400	9998889
6	860	200	9985000
6	860	250	10040000
6	860	300	10115556
6	860	350	9684444
6	860	400	9998889
6	880	200	9996667
6	880	250	10040000
6	880	300	10105000
6	880	350	9659444
6	880	400	9973889
6	900	200	9973333
6	900	250	10018889
6	900	300	10038889
6	900	350	9658889
6	900	400	9933333
