max_depth	min_split	vmin_bucket	ganancia_promedio
6	780	100	9396667
6	780	150	9375000
6	780	200	9926111
6	780	300	10154444
6	780	320	9953889
6	790	100	9396667
6	790	150	9375000
6	790	200	9926111
6	790	300	10154444
6	790	320	9953889
6	800	100	9396667
6	800	150	9375000
6	800	200	9926111
6	800	300	10154444
6	800	320	9953889
6	810	100	9396667
6	810	150	9495556
6	810	200	10030556
6	810	300	10154444
6	810	320	9953889
6	815	100	9368333
6	815	150	9501667
6	815	200	9995556
6	815	300	10115556
6	815	320	9915000
6	820	100	9368333
6	820	150	9501667
6	820	200	9995556
6	820	300	10115556
6	820	320	9915000
