fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220520 204101	-0.469274793457589	2001	309	18	5	10309000	1
20220520 204131	-0.144037197761645	2881	678	7	5	9821000	2
20220520 204211	-0.214165505279379	1822	164	11	5	9650000	3
20220520 204244	-0.387150361323438	5729	1023	9	5	9451000	4
20220520 204315	-0.926074964030704	4169	1935	10	5	8899000	5
20220520 204346	-0.939113918389194	6366	1627	16	5	8488000	6
20220520 204422	-0.361404917492473	3757	859	15	5	9769000	7
20220520 204452	-0.718798169968068	3001	1373	7	5	9126000	8
20220520 204516	-0.540523539397691	7751	36	5	5	7651000	9
20220520 204549	-0.10475196721527	4926	1514	12	5	8462000	10
20220520 204612	-0.60699958854093	6904	1803	5	5	8036000	11
20220520 204650	-0.816339408262866	5158	461	13	5	9436000	12
20220520 204720	0.00144602463551569	7229	912	19	5	0	13
20220520 204745	-0.264806181821041	3921	233	5	5	9475000	14
20220520 204818	-0.473315437075992	2652	1010	12	5	10024000	15
20220520 204849	-0.642502633070884	7797	1649	16	5	7988000	16
20220520 204952	-0.690587757834184	12	1	17	5	9553000	17
20220520 205023	-0.238794879918947	3686	1843	8	5	8459000	18
20220520 205107	-0.603733658249458	2537	306	16	5	9884000	19
20220520 205149	-0.415861178443842	963	481	16	5	9712000	20
20220520 205225	-0.437623473286354	3839	568	11	5	9352000	21
20220520 205302	-0.716347773977885	2109	1053	19	5	10406000	22
20220520 205350	-0.88724655010058	1993	85	20	5	9572000	23
20220520 205428	-0.53057440201246	2570	1283	18	5	9586000	24
20220520 205445	0.0154120558218705	1258	1	3	5	0	25
20220520 205546	-0.781321416570202	1607	799	20	5	9640000	26
20220520 205636	-0.715002620547998	3446	277	20	5	9323000	27
20220520 205715	-0.655708677817611	1788	890	20	5	10364000	28
20220520 205806	-0.498981636415477	16	5	13	5	8363000	29
20220520 205843	-0.461467988053599	2159	997	20	5	10593000	30
20220520 205920	-0.185494475363578	5158	621	12	5	9436000	31
20220520 205956	-0.851091653668515	2880	1425	20	5	9134000	32
20220520 210017	-0.972318981473404	2793	1	3	5	8693000	33
20220520 210055	-0.163978824150039	2321	1158	20	5	9980000	34
20220520 210137	-0.300911807771791	1888	426	20	5	9782000	35
20220520 210157	-0.870847763747255	949	472	3	5	8314000	36
20220520 210235	-0.475069102571277	2101	765	20	5	9952000	37
20220520 210309	-0.452744409319204	2810	1404	18	5	9125000	38
20220520 210344	-0.21917573192486	2316	1027	11	5	10446000	39
20220520 210419	-0.177818594583264	3752	1030	9	5	9515000	40
20220520 210442	-0.999912571947141	4842	659	5	5	9497000	41
20220520 210518	-0.249293647904996	2003	1000	14	5	10208000	42
20220520 210603	-0.381848895765425	2427	85	15	5	9402000	43
20220520 210620	-0.459799018296914	1485	694	3	5	8314000	44
20220520 210656	-0.999843098401935	2041	1020	15	5	10370000	45
20220520 210733	-0.211585299168523	2353	590	11	5	10279000	46
20220520 210807	-0.932176694599171	3590	974	14	5	9500000	47
20220520 210909	-0.999869949050768	51	25	20	5	4194000	48
20220520 210937	-0.999658207405316	2586	1292	6	5	9591000	49
20220520 211020	-0.701055194512912	1843	173	13	5	9770000	50
20220520 211040	-0.888119977457434	7999	2	4	5	7713000	51
20220520 211120	-0.639912594534916	2080	1039	16	5	10400000	52
20220520 211155	-0.34273641995465	2124	1061	12	5	10668000	53
20220520 211232	-0.362193519681436	2058	1028	19	5	10370000	54
20220520 211339	-0.617884260347532	1509	2	20	5	9091000	55
20220520 211412	-0.999999314774909	3767	1880	18	5	8445000	56
20220520 211451	-0.324703702946994	5306	310	12	5	9424000	57
20220520 211539	-0.834970747909768	1940	98	17	5	9629000	58
20220520 211616	-0.681542531294461	2055	1025	17	5	10370000	59
20220520 211649	-0.359032558978813	4782	1055	9	5	9630000	60
20220520 211724	-0.311615919484031	2311	995	11	5	10439000	61
20220520 211758	-0.585043984861951	5468	1014	20	5	9444000	62
20220520 211839	-0.999929855411003	5978	266	15	5	9379000	63
20220520 211858	-0.162798904297926	2568	1280	3	5	7873000	64
20220520 211938	-0.203061292693175	3145	309	12	5	9377000	65
20220520 211956	-0.699550937290901	5821	551	3	5	8253000	66
20220520 212032	-0.441159600225404	2161	1080	12	5	10518000	67
20220520 212110	-0.14250897863218	1771	884	12	5	10362000	68
20220520 212148	-0.577570408886583	2025	1010	18	5	10363000	69
20220520 212222	-0.343339298937633	2045	383	8	5	9913000	70
20220520 212300	-0.451012713792199	1990	992	16	5	10197000	71
20220520 212347	-0.657152732353853	646	323	20	5	9258000	72
20220520 212427	-0.933351726329303	2038	1016	11	5	10363000	73
20220520 212455	-0.262207827083269	5168	671	6	5	9436000	74
20220520 212529	-0.560732953738904	5358	1094	14	5	9474000	75
20220520 212606	-0.619860306599652	2198	1098	20	5	10449000	76
