fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220522 193053	1365	9	354	29	5	11228000	1
20220522 201300	837	11	319	15	5	11589000	2
20220522 211804	1611	27	78	33	5	8977000	3
20220522 222551	2306	26	426	25	5	10513000	4
20220522 231831	2183	17	188	21	5	10815000	5
20220522 232057	1794	1	246	7	5	-4000	6
20220522 234850	863	12	31	36	5	10668000	7
20220522 235604	652	5	291	27	5	10691000	8
20220523 002513	1453	20	465	18	5	11170000	9
20220523 003047	103	23	35	43	5	8101000	10
20220523 003350	507	15	170	4	5	11414000	11
20220523 025604	2451	24	116	48	5	8527000	12
20220523 033231	1944	6	259	40	5	10698000	13
20220523 034932	335	18	385	45	5	10030000	14
20220523 035246	1000	3	482	10	5	8910000	15
20220523 041206	1264	29	155	13	5	10650000	16
20220523 043538	968	16	500	23	5	11016000	17
20220523 044355	648	20	407	11	5	11413000	18
20220523 044559	109	6	500	36	5	10437000	19
20220523 045603	2500	14	497	2	5	10651000	20
20220523 050429	2500	10	64	2	5	9985000	21
20220523 050903	100	11	500	50	5	10589000	22
20220523 050937	100	12	443	2	5	9900000	23
20220523 064816	2218	15	1	43	5	9644000	24
20220523 065324	1079	19	1	2	5	10998000	25
20220523 065402	100	17	265	2	5	10837000	26
20220523 073410	2500	30	500	14	5	10947000	27
20220523 073637	100	10	160	28	5	10728000	28
20220523 082433	1810	11	321	31	5	11283000	29
20220523 082758	1152	8	500	2	5	9046000	30
20220523 083420	100	30	500	50	5	9679000	31
20220523 084454	2423	16	317	2	5	10857000	32
20220523 084901	897	19	497	2	5	10821000	33
20220523 094417	1528	10	500	48	5	10896000	34
20220523 095535	2483	20	180	2	5	10650000	35
20220523 100658	2488	28	500	2	5	10711000	36
20220523 111739	2500	9	358	41	5	11032000	37
20220523 113136	851	14	262	16	5	11443000	38
20220523 115411	982	6	500	50	5	10351000	39
20220523 115751	750	21	500	2	5	10654000	40
20220523 121217	1081	15	338	12	5	11368000	41
20220523 122224	841	16	1	10	5	10539000	42
20220523 124149	990	11	222	22	5	11411000	43
20220523 124414	100	20	39	19	5	9488000	44
20220523 131649	859	10	316	50	5	10859000	45
20220523 131802	228	25	500	2	5	10387000	46
20220523 132332	1202	19	262	2	5	11073000	47
20220523 132418	101	15	500	4	5	11561000	48
20220523 133524	2440	18	16	2	5	11005000	49
20220523 133601	100	14	1	2	5	10260000	50
20220523 135707	480	14	500	43	5	11019000	51
20220523 135908	100	15	317	17	5	11274000	52
20220523 140149	616	15	424	2	5	10825000	53
20220523 141225	2260	30	323	2	5	10826000	54
20220523 142717	1288	13	163	11	5	11357000	55
20220523 143044	181	7	299	32	5	11126000	56
20220523 143125	102	29	385	2	5	10833000	57
20220523 143800	299	6	1	48	5	10457000	58
20220523 145154	1522	15	204	8	5	11744000	59
20220523 145234	100	30	1	2	5	10133000	60
20220523 151525	2500	15	171	8	5	11702000	61
20220523 153200	1822	15	144	8	5	11608000	62
20220523 155719	2147	15	216	11	5	11052000	63
20220523 160014	271	7	500	17	5	11164000	64
20220523 160446	493	15	500	8	5	11630000	65
20220523 162109	894	12	334	20	5	11405000	66
20220523 163107	1313	15	175	6	5	11645000	67
20220523 163237	100	15	500	12	5	11243000	68
20220523 163404	151	15	327	7	5	11244000	69
20220523 164327	967	18	198	8	5	11544000	70
20220523 165658	1253	27	353	9	5	11304000	71
20220523 165916	101	30	378	18	5	9933000	72
20220523 183559	2500	17	500	36	5	10759000	73
20220523 190648	943	11	290	38	5	11061000	74
20220523 191908	1107	22	306	9	5	11227000	75
20220523 212506	2500	14	500	50	5	11111000	76
20220523 222309	2496	9	4	32	5	11021000	77
20220523 225340	1091	19	334	25	5	10523000	78
20220523 233728	2500	11	64	20	5	11392000	79
20220524 000432	2500	5	500	27	5	10508000	80
20220524 011354	2500	11	150	34	5	10973000	81
20220524 012424	1131	16	197	8	5	11449000	82
20220524 014027	2500	14	156	5	5	11431000	83
20220524 015525	1001	11	85	17	5	11195000	84
20220524 023551	2497	11	464	19	5	11522000	85
20220524 024854	1514	19	160	7	5	11186000	86
20220524 030601	1381	10	500	15	5	11628000	87
20220524 032837	1526	11	343	17	5	11532000	88
20220524 033941	1277	11	500	9	5	11172000	89
20220524 042650	2500	18	407	17	5	11033000	90
20220524 042802	100	3	326	45	5	9647000	91
20220524 054106	2500	13	500	32	5	11188000	92
20220524 062554	2500	10	311	23	5	11272000	93
20220524 070419	2492	24	488	14	5	11061000	94
20220524 071825	966	10	462	18	5	11707000	95
20220524 073236	959	11	493	17	5	11579000	96
20220524 074329	1140	29	500	8	5	11615000	97
20220524 075726	963	27	500	13	5	10812000	98
20220524 080736	1297	30	417	6	5	11712000	99
20220524 082309	1597	29	423	8	5	11694000	100
20220524 083717	1461	30	460	8	5	11649000	101
20220524 084626	1028	30	297	7	5	11455000	102
20220524 085927	967	10	435	16	5	11462000	103
20220524 092339	1491	10	500	20	5	11439000	104
20220524 093611	836	10	301	18	5	11367000	105
20220524 103538	2500	13	1	25	5	10637000	106
20220524 104836	1377	18	332	8	5	11697000	107
20220524 120341	2500	8	65	50	5	10643000	108
20220524 121517	1244	18	466	8	5	11945000	109
20220524 121732	221	18	477	8	5	11667000	110
20220524 123212	1559	20	465	8	5	11517000	111
20220524 141803	2500	30	500	37	5	10082000	112
20220524 143058	1394	17	477	8	5	11933000	113
20220524 144528	1406	18	500	9	5	11696000	114
20220524 145341	1202	17	478	5	5	11771000	115
20220524 151701	2500	26	1	7	5	10182000	116
