experimento	fecha	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
HT8310_nd	20220610 224610	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.191138282473548	0.694488919204741	731	1996	38	0.00920205845797172	12852	11628000	1
HT8310_nd	20220610 225015	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.13009626784944	0.304546730002039	823	7163	101	0.0161730372190124	9746	13534000	2
HT8310_nd	20220610 225459	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0926092514308402	0.828449686996464	391	4477	194	0.0101683173688647	9648	12432000	3
HT8310_nd	20220610 230119	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0760350031789858	0.411520873910922	603	2554	174	0.00558263505515977	12592	12488000	4
HT8310_nd	20220610 230459	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.271535098588793	0.463777214278525	252	5042	31	0.0147242910035645	10032	11808000	5
HT8310_nd	20220610 230917	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.146314565782668	0.33585503455688	527	1102	86	0.00395275813118787	9632	11368000	6
HT8310_nd	20220610 231158	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.245520441888366	0.840975360047014	279	4667	26	0.0109194157875631	11944	12056000	7
HT8310_nd	20220610 231440	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.118382111157407	0.192071117044543	456	6201	52	0.0112402678574848	13256	12904000	8
HT8310_nd	20220610 231649	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.299136774431099	0.111302078962035	153	3924	80	0.00821673453276633	10670	9730000	9
HT8310_nd	20220610 232028	0	0	0	1	1	1	-1	31	999983	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.218799457485438	0.9566119645664	912	3255	88	0.00572499053322386	10060	12140000	10
