experimento	fecha	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
HT8310_nd4	20220612 014239	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020008722	0.136673176	708	3491	483	0.014674097	10814	15466000	41
HT8310_nd4	20220612 032923	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.04757915	0.248546408	136	5458	142	0.015192426	10980	15420000	61
HT8310_nd4	20220612 041055	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.047403242	0.204068975	174	5013	147	0.012758302	12882	15318000	70
HT8310_nd4	20220612 052319	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.047535	0.225190512	22	5282	197	0.014522495	11334	15186000	86
HT8310_nd4	20220612 074540	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.028398489	0.557429162	882	2585	233	0.02151514	8274	15126000	113
HT8310_nd4	20220612 032143	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.043996772	0.8291105	17	5337	635	0.016038374	10578	15102000	59
HT8310_nd4	20220612 051516	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020031425	0.101800033	806	4310	736	0.013753913	10830	15090000	84
HT8310_nd4	20220612 062103	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020020746	0.436710241	700	4799	274	0.014463462	11914	15086000	99
HT8310_nd4	20220612 022552	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.060080485	0.934431478	165	5448	143	0.017856585	9648	15072000	49
HT8310_nd4	20220612 022227	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020006225	0.159455311	865	4260	538	0.011407789	12586	15014000	48
HT8310_nd4	20220612 044403	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.043491194	0.747949553	602	5277	228	0.015722783	10446	14994000	78
HT8310_nd4	20220612 014912	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020189534	0.119530226	649	2657	591	0.012549382	10466	14974000	42
HT8310_nd4	20220612 020525	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020804234	0.104654165	327	3693	391	0.015543219	11208	14952000	45
HT8310_nd4	20220612 075722	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.028806269	0.685569638	777	2867	193	0.014123665	11714	14926000	115
HT8310_nd4	20220612 060413	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.037258353	0.138674312	999	4910	382	0.011335648	12556	14924000	96
HT8310_nd4	20220612 024339	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020021058	0.375809077	912	5427	318	0.019914162	9078	14922000	52
HT8310_nd4	20220612 010307	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020112366	0.110877415	912	5717	602	0.013066596	12326	14914000	32
HT8310_nd4	20220611 231807	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.039861014	0.136422653	693	5636	361	0.011741912	12108	14892000	12
HT8310_nd4	20220612 055205	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.050032589	0.251970329	165	5599	138	0.014843956	11172	14868000	93
HT8310_nd4	20220612 053000	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.034359952	0.127632069	503	5606	200	0.015022827	11186	14854000	88
HT8310_nd4	20220612 041729	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020111186	0.164394996	968	3603	480	0.011180343	13004	14836000	71
HT8310_nd4	20220612 073715	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.023981589	0.632589178	733	2285	183	0.013275971	12530	14830000	112
HT8310_nd4	20220612 012527	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.075285018	0.999873913	16	6014	414	0.016549656	10492	14828000	36
HT8310_nd4	20220612 000928	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0202649	0.981813308	16	6084	1089	0.016724102	10614	14826000	23
HT8310_nd4	20220611 233826	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020072088	0.44085973	1024	2367	252	0.014367446	11710	14810000	17
HT8310_nd4	20220612 025907	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020036888	0.39107474	666	2250	205	0.013589202	12800	14800000	54
HT8310_nd4	20220612 061023	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.046713475	0.244917666	563	5452	407	0.012087876	10282	14798000	97
HT8310_nd4	20220612 042015	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.057097278	0.806222446	18	5581	386	0.012619741	12444	14796000	72
HT8310_nd4	20220612 055635	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.027144144	0.148695137	724	5748	304	0.014011493	11740	14780000	94
HT8310_nd4	20220612 052639	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.047150155	0.224233403	430	4526	98	0.014372382	11986	14774000	87
HT8310_nd4	20220612 023548	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.069100777	0.880119982	17	5684	557	0.016357871	10552	14768000	51
HT8310_nd4	20220612 042355	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.055159786	0.117471395	159	5585	316	0.013728607	10312	14768000	73
HT8310_nd4	20220612 073123	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.022991967	0.511386784	186	2554	231	0.012323549	12712	14768000	111
HT8310_nd4	20220611 234344	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.020226366	0.100142065	106	5794	548	0.015690563	11036	14764000	18
HT8310_nd4	20220612 065037	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.04056056	0.747911619	26	5454	629	0.016009567	10570	14750000	103
HT8310_nd4	20220612 050407	0	0	0	1	1	1	-1	31	565273	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.044668761	0.771110471	292	5884	111	0.015007678	11908	14732000	82
