Feature	Gain	Cover	Frequency
mpasivos_margen	0.109215118942605	0.0353245554620619	0.040644452581472
cpayroll_trx	0.0905452836141733	0.0205680245992253	0.00549249359209081
ctarjeta_visa_trx	0.0662339682486985	0.0112397383684871	0.0142804833394361
mpayroll	0.0596580101973158	0.0387342490694421	0.0117173196631271
ctrx_quarter	0.0431408958472171	0.0317461720690861	0.0281948004393995
Visa_msaldopesos	0.0325096732407568	0.0173948162505924	0.0245331380446723
mcuentas_saldo	0.028863715610611	0.0404234794722118	0.0413767850604174
mtarjeta_visa_consumo	0.0256220073577519	0.028765188903403	0.0336872940314903
mrentabilidad_annual	0.0246808612355223	0.0281759642526938	0.0285609666788722
Visa_fechaalta	0.0234606899635371	0.0141919962201545	0.0219699743683632
Visa_msaldototal	0.0230617491131477	0.0195758758118488	0.0234346393262541
mcaja_ahorro	0.0217641515863446	0.0164738684547162	0.0292932991578177
mautoservicio	0.0207793507989671	0.0152267723005587	0.0168436470157452
mcomisiones_otras	0.018575474279819	0.0145456686308421	0.024899304284145
Master_fechaalta	0.0179880329379009	0.0315045085564115	0.0296594653972904
mactivos_margen	0.017815712190594	0.0225763707316318	0.0194068106920542
numero_de_cliente	0.0176830545858514	0.018553753797911	0.0267301354815086
mprestamos_personales	0.0169010644000573	0.0225472138964555	0.00915415598681802
Visa_Fvencimiento	0.0160591611690075	0.0164647015457368	0.0289271329183449
mcaja_ahorro_dolares	0.0156138601493325	0.0200619202542364	0.0212376418894178
mrentabilidad	0.0148352160301635	0.0156567773057377	0.0219699743683632
cliente_antiguedad	0.0136388067297246	0.0157830963784552	0.0194068106920542
chomebanking_trx	0.0133469430658847	0.0169013892975381	0.0175759794946906
Master_Fvencimiento	0.0131788499780687	0.0222957070362254	0.0238008055657268
mcuenta_corriente	0.012891829398922	0.0158826494764809	0.0179421457341633
Visa_mconsumospesos	0.0124567499368504	0.0134174390623311	0.0216038081288905
cliente_edad	0.0123762789453566	0.0263940967532021	0.0238008055657268
mtransferencias_recibidas	0.0119159295273944	0.0105179900705348	0.0153789820578543
Visa_mpagospesos	0.0113458905246527	0.0167404202418972	0.0234346393262541
cprestamos_personales	0.0112049847285978	0.000709840646466283	0.00146466495789088
mcomisiones	0.0102421011654081	0.00940107335407216	0.018308311973636
Visa_mconsumototal	0.0095081475387894	0.010177181655527	0.0168436470157452
Visa_mlimitecompra	0.00938641399842433	0.0135161407807697	0.0128158183815452
ccomisiones_otras	0.00937772599204548	0.0151545216629921	0.0168436470157452
Visa_mpagominimo	0.00849698672617496	0.0111676393464633	0.0172098132552179
Master_mlimitecompra	0.00847617213693637	0.012205809282482	0.0164774807762724
mpagomiscuentas	0.00737594443311898	0.0160558294146936	0.0109849871841816
mtransferencias_emitidas	0.0069891949558539	0.00650372365440856	0.0113511534236543
Visa_mfinanciacion_limite	0.00692768542449846	0.00898919223763875	0.0102526547052362
mtarjeta_visa_debitos_automaticos	0.0067926684267339	0.00940523695013533	0.0106188209447089
Master_mpagospesos	0.00670510035420016	0.0251075805578864	0.0113511534236543
ctarjeta_visa_trx2	0.00651782426458821	0.0103151634623149	0.0124496521420725
Master_msaldototal	0.00565259312314662	0.00979305784618132	0.00695715854998169
Master_mfinanciacion_limite	0.00548265667488713	0.00456999569458509	0.00952032222629074
cproductos	0.00536726054170733	0.00850785953981557	0.00805565726839985
ctransferencias_recibidas	0.00425146529424989	0.0112791467469113	0.00659099231050897
Master_msaldopesos	0.00420064240103009	0.00773275423349083	0.00659099231050897
mcuenta_debitos_automaticos	0.00402770856365964	0.0122419520953665	0.00805565726839985
mextraccion_autoservicio	0.00382409543763121	0.0105847475603543	0.0131819846210179
ccaja_ahorro	0.00361570833886869	0.0145202088823663	0.00439399487367265
Visa_mpagado	0.00345732807047162	0.0137913113284288	0.00659099231050897
ctarjeta_debito_trx	0.00330544894292842	0.0117909191806584	0.0124496521420725
thomebanking	0.00302347533842493	0.00324548231166772	0.00329549615525449
mcomisiones_mantenimiento	0.00289263357781197	0.00383800751611895	0.00439399487367265
cpagomiscuentas	0.00272343798113053	0.00634006050719738	0.00402782863419993
Visa_mconsumosdolares	0.00264857091695606	0.00567077118709419	0.00585865983156353
ccallcenter_trx	0.00230482416222713	0.0115964664155011	0.00366166239472721
ccomisiones_mantenimiento	0.00226440442016895	0.00218112953766076	0.00329549615525449
mplazo_fijo_dolares	0.00208213124029528	0.0134060329084102	0.00329549615525449
ccuenta_debitos_automaticos	0.00203746934888418	0.00380668141240561	0.00292932991578176
Visa_cconsumos	0.0020032652429841	0.00360748191448165	0.00402782863419993
ctransferencias_emitidas	0.00200225775237962	0.00409735173364443	0.00402782863419993
