Feature	Gain	Cover	Frequency
ctrx_quarter	0.425379394047078	0.1245517955654	0.0478131949592291
mpayroll	0.105181995902105	0.145479166193061	0.0511489992587102
mtarjeta_visa_consumo	0.0693235600767021	0.0465697192677652	0.0374351371386212
cpayroll_trx	0.0646630683470282	0.0906396036637156	0.0329873980726464
mpasivos_margen	0.0601818740215547	0.0549452714179311	0.050407709414381
mprestamos_personales	0.0444352085672788	0.0333418418353018	0.0396590066716086
mcaja_ahorro	0.0368703770192726	0.0156371379284853	0.0233506300963677
mactivos_margen	0.0224824086863546	0.0445723931808593	0.0433654558932543
mcuentas_saldo	0.0212438241443353	0.0195688176410244	0.0429948109710897
ctarjeta_visa_trx	0.0187840431619159	0.0139275018352051	0.0163083765752409
mrentabilidad_annual	0.0185428506608237	0.0327309212505923	0.0644922164566345
Visa_msaldototal	0.0105082106359678	0.00707615890898331	0.0103780578206079
mcomisiones_otras	0.0101023672244278	0.0376322748363083	0.0455893254262417
ccomisiones_otras	0.00913367776662742	0.0150496395909547	0.0133432171979244
Visa_mpagominimo	0.00673218526194659	0.00588834578074664	0.0163083765752409
Visa_msaldopesos	0.00641069818919038	0.0540068510744251	0.0352112676056338
Master_fechaalta	0.00636795095152188	0.00929202700262003	0.0233506300963677
chomebanking_trx	0.00506375177094909	0.0121536134253421	0.0266864343958488
cproductos	0.00435049747684931	0.0062477792720362	0.0151964418087472
mtarjeta_visa_debitos_automaticos	0.00426441658863018	0.00815686694284095	0.0155670867309118
ctarjeta_visa_trx2	0.00339188442204208	0.0192505095703642	0.0118606375092661
mcomisiones	0.003130680824202	0.00801161679019806	0.0140845070422535
Master_msaldopesos	0.00288408057151938	0.00595046798849169	0.00741289844329133
mcaja_ahorro_dolares	0.00278900616611861	0.00602112853166228	0.0118606375092661
Master_Fvencimiento	0.00277397469595436	0.00780121036722181	0.0144551519644181
mcuenta_corriente	0.00272923416808518	0.00351753464425124	0.0129725722757598
cliente_edad	0.00259918809634142	0.00816618393149713	0.0181616011860638
numero_de_cliente	0.00234869075650431	0.0123117605814947	0.0259451445515197
mrentabilidad	0.00233538575655014	0.003563170883596	0.00889547813194959
cliente_antiguedad	0.0022733194223989	0.00468623944320745	0.0174203113417346
thomebanking	0.00215732358681341	0.00193106896200512	0.00704225352112676
Visa_fechaalta	0.00182479502856978	0.00781487707392498	0.0107487027427724
Visa_mfinanciacion_limite	0.0017549485399389	0.00925151018451576	0.0185322461082283
mtransferencias_recibidas	0.00169491676270172	0.00689921667484998	0.0148257968865827
mcomisiones_mantenimiento	0.00169118653858883	0.00450574404433204	0.00852483320978503
Visa_mpagospesos	0.00167512790250905	0.00766192988934711	0.00926612305411416
Visa_mconsumospesos	0.00129059829542106	0.00211376607001542	0.00518902891030393
Visa_mlimitecompra	0.00125644848173262	0.0157119691889602	0.0218680504077094
Master_mfinanciacion_limite	0.00118037842327288	0.00617566882284995	0.0159377316530764
Master_mlimitecompra	0.00117106984585607	0.0104737899057543	0.0163083765752409
ccaja_ahorro	0.00103927387838192	0.0120707002813355	0.0148257968865827
cseguro_accidentes_personales	0.0006797320923031	0.00449134343458391	0.00593031875463306
Visa_Fvencimiento	0.000635890180596305	0.00116403287957242	0.00370644922164566
ccuenta_debitos_automaticos	0.000564934412556681	0.000868950155274194	0.00185322461082283
Visa_mpagosdolares	0.000521726286104995	0.00519495060385006	0.00741289844329133
Master_msaldototal	0.000469969189155492	0.00108969387113987	0.0011119347664937
Visa_cconsumos	0.00038122977294346	0.000564407241725646	0.00185322461082283
mcuenta_debitos_automaticos	0.00037728463028471	0.000435276105960564	0.00185322461082283
mtarjeta_visa_descuentos	0.000347344302838675	0.0379214415860611	0.0226093402520386
Master_mpagospesos	0.000305818868303045	0.00098617774165145	0.00148257968865827
ctarjeta_debito	0.000264376397612568	0.000338329303728281	0.00148257968865827
Master_cconsumos	0.000210125183724746	0.000523469771876084	0.0011119347664937
Visa_mconsumosdolares	0.000191973347587669	0.00180191992616577	0.00185322461082283
ctransferencias_recibidas	0.000172322914592244	0.000571764172249551	0.00185322461082283
Visa_mpagado	0.000162661429781627	0.000338257703431212	0.000741289844329133
Visa_mconsumototal	0.000155232127163312	0.000325459150330015	0.000370644922164566
Master_mconsumospesos	0.000136142794360456	0.00038481579660074	0.000741289844329133
mautoservicio	0.000132905448493116	0.000352756763587812	0.0011119347664937
mtransferencias_emitidas	9.02616883238955e-05	0.000393604733066038	0.00148257968865827
Visa_msaldodolares	6.05446714179432e-05	0.000250627889855115	0.000370644922164566
ccomisiones_mantenimiento	3.9211583786092e-05	8.95272214484418e-05	0.000370644922164566
Master_status	3.41750591671391e-05	0.000215042542211508	0.0011119347664937
cmobile_app_trx	2.87745391080664e-05	0.000214263888980875	0.0011119347664937
mpagomiscuentas	1.87963937714381e-05	5.96072473104691e-05	0.000370644922164566
ctarjeta_visa_debitos_automaticos	4.6940219609294e-06	6.64898258662875e-05	0.000370644922164566
