Feature	Gain	Cover	Frequency
ctrx_quarter	0.398905710338854	0.109539995953128	0.0431937172774869
cpayroll_trx	0.127245557145636	0.157124462227099	0.0713350785340314
mtarjeta_visa_consumo	0.0853423326253455	0.0602861810144389	0.049738219895288
mpasivos_margen	0.0781185832962202	0.0644245120313864	0.0726439790575916
mpayroll	0.0591559757728365	0.131606602175945	0.0523560209424084
mcaja_ahorro	0.037337733766607	0.0130767646656713	0.0215968586387435
mprestamos_personales	0.0302409957718033	0.0421674799631196	0.0379581151832461
mcuentas_saldo	0.0261305099724899	0.0348965882396997	0.0556282722513089
mactivos_margen	0.0247148641929818	0.0444015413035836	0.056282722513089
ctarjeta_visa_trx	0.020660169771198	0.0151165061322587	0.0176701570680628
Visa_msaldototal	0.0168352114419868	0.0146461591194504	0.018979057591623
mrentabilidad_annual	0.0127412038085212	0.0210653359279009	0.049738219895288
mcomisiones_otras	0.0111136865473901	0.0424096167105575	0.0549738219895288
ccomisiones_otras	0.010299767865395	0.0171447562872932	0.0137434554973822
Visa_msaldopesos	0.0102207932696688	0.0774968664573699	0.068717277486911
Visa_mpagominimo	0.00487692189073344	0.0066237199096949	0.0183246073298429
Master_fechaalta	0.00372213928955288	0.00570396610610725	0.0157068062827225
cproductos	0.00340154978811063	0.00828153237492428	0.0176701570680628
cprestamos_personales	0.00329619709527815	0.00195897684818304	0.00327225130890052
Visa_fechaalta	0.00329312069580485	0.0049222202609935	0.0170157068062827
chomebanking_trx	0.00324351795689468	0.0073590179632878	0.0235602094240838
ctarjeta_visa_trx2	0.00309539811579598	0.00370135818437188	0.00785340314136126
cliente_antiguedad	0.00271978989453321	0.00247898113991858	0.00850785340314136
Visa_mconsumospesos	0.00250991738460654	0.00467652614464713	0.00850785340314136
cliente_edad	0.00239397142715698	0.0122709813309616	0.0215968586387435
Visa_mpagospesos	0.00211732005467723	0.020435816294911	0.0215968586387435
mcaja_ahorro_dolares	0.00190110998532959	0.00798616975766676	0.0130890052356021
mcomisiones	0.00142559736095601	0.00520631600637691	0.00719895287958115
Visa_Fvencimiento	0.00140654498580614	0.00296705888734949	0.00916230366492147
mtransferencias_recibidas	0.00133307340355411	0.0123816637585456	0.024869109947644
mcomisiones_mantenimiento	0.00132715105155565	0.00274644590510536	0.00719895287958115
Master_msaldopesos	0.00108284661112041	0.00362555368286828	0.00261780104712042
thomebanking	0.00102776425803455	0.00187365610429972	0.00654450261780105
Master_mfinanciacion_limite	0.00100624424789361	0.00609311084313762	0.0137434554973822
Visa_mfinanciacion_limite	0.000901666958824546	0.00352113312232188	0.00850785340314136
Master_Fvencimiento	0.000875284006030973	0.00466015327008107	0.00850785340314136
numero_de_cliente	0.000833284048802777	0.00710774652092407	0.0170157068062827
Master_mlimitecompra	0.000524370345096365	0.00637128138100158	0.012434554973822
mcuenta_corriente	0.00046790435646057	0.00122654040049443	0.00327225130890052
mrentabilidad	0.000465030512543115	0.00113546277885073	0.00196335078534031
Visa_cconsumos	0.000379832456124179	0.000388325532202869	0.00130890052356021
Visa_mlimitecompra	0.000281519279314876	0.00211030530159177	0.00261780104712042
mcuenta_debitos_automaticos	0.000210679559582636	0.00057759551330718	0.00130890052356021
cmobile_app_trx	0.000182554277594421	0.000214990768291023	0.000654450261780105
ccaja_ahorro	0.000136070733418958	0.00123418257155645	0.000654450261780105
Visa_mconsumototal	0.000115163471439605	0.000376059903758246	0.000654450261780105
ctarjeta_debito	0.00011391152311544	0.000355849110685267	0.00130890052356021
Visa_mconsumosdolares	7.58074696512564e-05	0.000718330413878102	0.00130890052356021
mtarjeta_visa_debitos_automaticos	7.18814179695259e-05	0.000146469334363422	0.000654450261780105
Master_mpagospesos	6.63160961039652e-05	0.000827913087036148	0.00261780104712042
Visa_fultimo_cierre	2.84717726760558e-05	0.000471009109860675	0.000654450261780105
Visa_mpagado	1.45285534167953e-05	0.00171768174954051	0.00130890052356021
mautoservicio	1.24520775059522e-05	0.000142530418001059	0.000654450261780105
