Feature	Gain	Cover	Frequency
ctrx_quarter	0.215152086920207	0.0258394326678927	0.0212648743940062
cpayroll_trx	0.0786125025500468	0.0164695764802813	0.00605993829881005
mpasivos_margen	0.0598139692321384	0.021180189382213	0.0213750550903482
mtarjeta_visa_consumo	0.0491534772173086	0.014168865470502	0.0117893345085941
mpayroll	0.0386279348072408	0.0285097354376108	0.0102468047598061
mcuentas_saldo	0.0310995921658429	0.0320291609131866	0.0338254737769943
mcaja_ahorro	0.0290471554507854	0.00976004714391725	0.0187307183781402
mprestamos_personales	0.0269104505786172	0.0309526943548057	0.0136624063464081
mrentabilidad_annual	0.0263951804171955	0.0459388543918122	0.0436315557514324
mactivos_margen	0.0245591827423244	0.0296516884365998	0.0255619215513442
chomebanking_trx	0.0194884190772793	0.0275858482041906	0.0360290877038343
Visa_Fvencimiento	0.0186077771065808	0.0190462776603708	0.0371308946672543
cliente_edad	0.0186058678136051	0.0343026828270899	0.0418686646099603
Master_Fvencimiento	0.0179357012631544	0.0335606575090559	0.0376817981489643
Visa_msaldototal	0.0179106498258643	0.00445062457884743	0.00738210665491406
ctarjeta_visa_trx	0.0170568134923322	0.00731897544403091	0.0101366240634641
Master_fechaalta	0.0163099436554478	0.020332855143921	0.0290877038342882
numero_de_cliente	0.0153481494033002	0.0215098533294427	0.0327236668135743
mcuenta_corriente	0.0145619687825167	0.021871733831681	0.0282062582635522
mcaja_ahorro_dolares	0.0137521375446973	0.0233910534870324	0.0255619215513442
Visa_mfinanciacion_limite	0.0130002307189808	0.0200525792347693	0.0295284266196562
mcomisiones_otras	0.012503689784949	0.0121129704344213	0.0180696342000881
Visa_mconsumospesos	0.0115099949543635	0.0178349782030461	0.0237990304098722
Visa_fechaalta	0.0111284462466858	0.0163443223063979	0.0229175848391362
cliente_antiguedad	0.0109739449570682	0.0162349383134166	0.0212648743940062
mrentabilidad	0.0107535788410724	0.018448240439666	0.0253415601586602
ccomisiones_otras	0.0104344083682215	0.00985162326659721	0.0105773468488321
Visa_mpagospesos	0.0103805265569672	0.0140175018645981	0.0218157778757162
Master_mfinanciacion_limite	0.00917597099654771	0.0158566631594196	0.0212648743940062
Visa_mpagominimo	0.00829649611680801	0.00891545156516137	0.0149845747025121
mcomisiones	0.0075889702969964	0.007954557316983	0.0130013221683561
Visa_msaldopesos	0.00752773130470433	0.0130848983205388	0.0138827677390921
mtransferencias_recibidas	0.00720968024439362	0.0101834465415381	0.0154252974878801
ctransferencias_recibidas	0.00719471737018342	0.0213882989792597	0.0133318642573821
cproductos	0.00616443212038623	0.0140645594087439	0.00980608197443808
Master_mpagospesos	0.00598540777758056	0.0326124866166394	0.0145438519171441
Master_mlimitecompra	0.00539305423603472	0.00654955255844137	0.0107977082415161
Master_msaldopesos	0.00515892127631388	0.00752953842357872	0.00771264874394006
mcomisiones_mantenimiento	0.0050927963700062	0.007254735444622	0.00848391361833407
ccaja_ahorro	0.00495022685403734	0.0252973865514073	0.00925517849272807
mtarjeta_visa_debitos_automaticos	0.00469341667814128	0.0112559762768358	0.0105773468488321
ctarjeta_visa_trx2	0.00440233009247423	0.00536614661182533	0.0112384310268841
mtransferencias_emitidas	0.00431852631482629	0.0130952055992579	0.0118995152049361
mpagomiscuentas	0.00422499701577364	0.0137922888120827	0.00727192595857206
ctarjeta_debito_trx	0.00415812686707915	0.00815693723450322	0.00738210665491406
Visa_mlimitecompra	0.00405574041193656	0.00862078233237365	0.00793301013662406
Visa_cconsumos	0.00392277589186232	0.00469673307695867	0.00881445570736007
mcuenta_debitos_automaticos	0.00360048796331529	0.0102750928862575	0.00683120317320405
Visa_mpagado	0.00318802258932523	0.0192742995944618	0.0102468047598061
ctarjeta_debito	0.00316273642934626	0.0031785918352058	0.00517849272807404
Master_fultimo_cierre	0.00302916607943755	0.00421499452567634	0.00539885412075804
ccallcenter_trx	0.00258316754411899	0.0113672913759003	0.00451740855002204
ccuenta_debitos_automaticos	0.0024977593044442	0.00761666641895111	0.00484795063904804
Master_mpagominimo	0.00249422086682676	0.00436234669758005	0.00506831203173204
thomebanking	0.0021500613019043	0.00144565893047063	0.00253415601586602
mautoservicio	0.00203313225733072	0.00371228811232008	0.00506831203173204
ccaja_seguridad	0.00200282576555471	0.0114709347171616	0.00363596297928603
cseguro_accidentes_personales	0.00193053932479823	0.0169456029075471	0.00605993829881005
mplazo_fijo_dolares	0.00174646281768811	0.00699534400887252	0.00220361392684002
ctransferencias_emitidas	0.00172359885467609	0.00420058584096913	0.00528867342441604
catm_trx	0.00164772483643067	0.00885276742281268	0.00495813133539004
Visa_mconsumosdolares	0.00154957249185226	0.00184998426664235	0.00341560158660203
Visa_fultimo_cierre	0.00153587952750785	0.00197936617977857	0.00341560158660203
Master_msaldototal	0.00141285068445763	0.00246176745155764	0.00385632437197003
Master_cconsumos	0.00133605930725705	0.0121033105151278	0.00495813133539004
cpagomiscuentas	0.00127128357424701	0.00686593576247153	0.00407668576465403
matm	0.00107921943257608	0.00443919155305935	0.00286469810489202
mextraccion_autoservicio	0.00107299285774169	0.0102566991008149	0.00473776994270604
cprestamos_personales	0.000975307535805458	0.000236718494781632	0.000440722785368004
Visa_mpagosdolares	0.000909418390289109	0.0016043782950005	0.00308505949757603
ccomisiones_mantenimiento	0.000871316163150511	0.000907624247985323	0.00154252974878801
Master_mconsumospesos	0.00081852732691869	0.00158949780596614	0.00187307183781402
cmobile_app_trx	0.000691949764587041	0.000652114774350836	0.00132216835610401
ctarjeta_visa_debitos_automaticos	0.000691642671254048	0.000953887405310545	0.00154252974878801
mtarjeta_master_consumo	0.000663959353647283	0.00211126291970042	0.00209343323049802
Visa_mconsumototal	0.000478739208195374	0.000973066799818772	0.00143234905244601
cplazo_fijo	0.000318796957025268	0.00244837040310538	0.000771264874394006
cextraccion_autoservicio	0.000301091164724462	0.00121630497206996	0.000881445570736007
tcallcenter	0.000249751107288622	0.00137961510242491	0.000661084178052005
Master_mpagosdolares	0.000217696661643266	0.000205476270569547	0.000330542089026003
Visa_msaldodolares	0.000144105779589731	0.000408637408277975	0.000220361392684002
Visa_delinquency	8.50866633003411e-05	0.00013487898215717	0.000220361392684002
Master_status	7.37974045248147e-05	0.000137161198437325	0.000110180696342001
ccajas_trx	6.99232567426236e-05	0.00209860320266176	0.000661084178052005
ctarjeta_master	5.40307795777366e-05	9.03406536744497e-05	0.000110180696342001
Master_mconsumototal	5.20717064907484e-05	3.47950205174426e-05	0.000110180696342001
ctarjeta_master_trx	5.18891175693423e-05	4.79879861677241e-05	0.000110180696342001
ctarjeta_master_debitos_automaticos	3.90720310911854e-05	0.00031383984954103	0.000110180696342001
Master_mpagado	3.08115820174502e-05	4.48236055177398e-05	0.000110180696342001
mttarjeta_master_debitos_automaticos	1.51528528509046e-05	9.82889107578363e-05	0.000220361392684002
