Feature	Gain	Cover	Frequency
ctrx_quarter	0.248714600432126	0.0508135320356992	0.0414716447153587
mpayroll	0.0696336878971704	0.0624725925298214	0.0271397989913283
mpasivos_margen	0.0399997286542378	0.022045330752759	0.0433946518631399
mtarjeta_visa_consumo	0.0344701650208993	0.0156679181270752	0.0257247559957912
mrentabilidad_annual	0.0312419336893421	0.0302413313069241	0.0340335982003556
cpayroll_trx	0.0291319945018651	0.0228349121176419	0.00740176336127136
mcuentas_saldo	0.0283200629107171	0.0294530058396068	0.0263415696092304
mprestamos_personales	0.024682990410269	0.0237152923986255	0.010195566198614
mactivos_margen	0.0244570920473379	0.0253485969637319	0.0256884728420594
mcaja_ahorro	0.0219434418390141	0.00625096734597079	0.0141867131091034
Master_fechaalta	0.0209805625519056	0.0358359780616788	0.0364282863466493
chomebanking_trx	0.0201786823289064	0.0159384499392208	0.0247451108450347
Master_Fvencimiento	0.0189254532701961	0.0245551931318037	0.0361380211167955
ctarjeta_visa_trx	0.0182736668279593	0.0124650702511473	0.0155654729509089
cliente_edad	0.0171603670413936	0.0496743886026234	0.0509052646856065
Visa_Fvencimiento	0.0170934207677063	0.0132274144190872	0.0255796233808643
numero_de_cliente	0.0150911851671598	0.0107714604323258	0.0198468850912521
Visa_fechaalta	0.0148753118814999	0.0101815302641298	0.017778745328544
Visa_mpagominimo	0.0145571942161664	0.0174359036864599	0.0228583868509851
Master_mfinanciacion_limite	0.0144838372497124	0.0111425449070856	0.0198468850912521
Visa_mfinanciacion_limite	0.013342529096583	0.0107429282132825	0.0187946736330322
cliente_antiguedad	0.0132285777653821	0.00882958066163242	0.014767243568811
mrentabilidad	0.0126477247088162	0.0161831191297442	0.0215884764703748
Visa_msaldopesos	0.0121480207024698	0.0285871251112022	0.0247088276913029
mcaja_ahorro_dolares	0.0120297818487475	0.0181140557680675	0.0264141359166939
mcomisiones_otras	0.0116670833364795	0.0095174604067305	0.0146221109538841
Visa_mconsumospesos	0.0106196510994627	0.00860901479281836	0.0163274191792751
mcuenta_corriente	0.0104320908788527	0.00695131999274772	0.0118283081165415
ccomisiones_otras	0.0100227368218008	0.0143103997991315	0.0141504299553717
Visa_mpagospesos	0.00909429088028979	0.00656741962455442	0.0120097238852001
mtransferencias_emitidas	0.00808556857765545	0.00815564490071987	0.0159645876419578
mtransferencias_recibidas	0.00757037693471631	0.0195630263918423	0.0239468814629368
Master_mpagospesos	0.00714445776199598	0.0230122779793343	0.0104132651210043
mpagomiscuentas	0.00682833752622922	0.0149096676896215	0.0116106091941512
Visa_msaldototal	0.00680941913454651	0.00341825582691053	0.00696636551649069
mtarjeta_visa_debitos_automaticos	0.00675304261369438	0.00548358524210603	0.00841769166575959
ctransferencias_recibidas	0.00670572974049806	0.0143006773522457	0.00743804651500308
mcomisiones_mantenimiento	0.00647244816213421	0.00815375518569136	0.00667610028663692
mcomisiones	0.00635183758727399	0.0048611830142173	0.00863539058814992
cproductos	0.00502388302262066	0.00471374872576118	0.00526105729109974
ctarjeta_visa_trx2	0.00498106337097618	0.0092503728577943	0.0107035303508581
ctarjeta_debito_trx	0.00497010054791896	0.0115065100206717	0.0150575087986648
Visa_cconsumos	0.00451208968496383	0.00499428859389619	0.0119734407314684
Master_msaldopesos	0.00447354875933756	0.00918910122807076	0.00493450890751424
ccaja_ahorro	0.0044724934276489	0.0154528296931264	0.00562388882841697
mautoservicio	0.00411481225014514	0.00687040262997418	0.00888937266427198
Visa_mlimitecompra	0.00378755100423292	0.0114735554250503	0.00536990675229491
Visa_mpagado	0.00342514771064474	0.0117051622375713	0.0064946845179783
ctarjeta_debito	0.00315124433222561	0.00963079505484817	0.0119371575777367
mcuenta_debitos_automaticos	0.00304465812596125	0.00739804132224073	0.00515220782990458
Master_mlimitecompra	0.00290452374578615	0.00193694225440768	0.00301150175973296
ccallcenter_trx	0.00284425053798353	0.0210770858957812	0.010449548274736
mplazo_fijo_dolares	0.00273889222079049	0.0158543504476207	0.00380973114183085
ccuenta_debitos_automaticos	0.00264625114526121	0.00552861627745412	0.00293893545226951
ccaja_seguridad	0.00251040336197383	0.011776439314982	0.00384601429556257
Master_fultimo_cierre	0.00249506439617891	0.00211051825283375	0.00333805014331846
ctransferencias_emitidas	0.00233882106122364	0.00252207053803842	0.0030840680671964
cpagomiscuentas	0.00200809725321936	0.00920904300343372	0.00674866659410036
Visa_mconsumosdolares	0.00200729947647027	0.00212199347887644	0.00417256267914807
mtarjeta_visa_descuentos	0.00199393839532502	0.0244244871902563	0.0142592794165669
thomebanking	0.00196568930172573	0.00169822129731764	0.00195929030151301
Master_cconsumos	0.00195287020520465	0.00739400888685898	0.00304778491346468
ctarjeta_visa_debitos_automaticos	0.00177809079219009	0.00246495915051016	0.00315663437465985
cseguro_accidentes_personales	0.00169533635009356	0.00587062991874222	0.00253982076122057
ccomisiones_mantenimiento	0.00158953299303461	0.00131756174475294	0.00214070607017162
cmobile_app_trx	0.00157291120690518	0.00068059606087846	0.00192300714778129
catm_trx	0.0015714668910551	0.00407716907062958	0.00232212183883023
ctarjeta_master_trx	0.00134825504836841	0.00454245238355997	0.00174159137912267
cextraccion_autoservicio	0.00121501782296385	0.00156200792542831	0.00130619353434201
Master_msaldototal	0.00104842679783674	0.00132881917755217	0.00203185660897645
Visa_fultimo_cierre	0.000970981498820213	0.000572273265662486	0.00130619353434201
Master_mconsumospesos	0.000915596605650937	0.00120624983508194	0.00152389245673234
mextraccion_autoservicio	0.000857339016337819	0.0136080791882566	0.00903450527919887
cplazo_fijo	0.000830084951164172	0.00358056265517695	0.00105221145821995
cprestamos_personales	0.000817010159815332	0.000228834187158271	0.000544247305975835
ccajas_consultas	0.000812808251047229	0.00719337957680324	0.00156017561046406
mtarjeta_master_consumo	0.000728680313414072	0.00372871813922367	0.00152389245673234
Master_mpagominimo	0.000710586124136021	0.000932988434561909	0.00166902507165923
active_quarter	0.000689853378198052	0.000589259834500532	0.000979645150756504
Visa_mpagosdolares	0.000636084227300851	0.000580016011089855	0.00123362722687856
matm	0.00063390736071862	0.00138388304776177	0.00145132614926889
minversion2	0.000438311199693176	0.00515399233645046	0.000907078843293059
tcallcenter	0.000422511373342496	0.00170792809438955	0.00152389245673234
mttarjeta_master_debitos_automaticos	0.000304588025442981	0.0003276927574178	0.000507964152244113
Visa_Finiciomora	0.000300172848226121	0.000830424770861391	0.000290265229853779
ctarjeta_master_debitos_automaticos	0.000249297790661936	0.00198296835708962	0.000507964152244113
Master_msaldodolares	0.000246913012590484	0.000159080358300559	0.000253982076122057
Master_mpagosdolares	0.00024628634191258	0.000542805970238637	0.000653096767171003
Master_mpagado	0.000220044988787665	0.0020232574988258	0.00061681361343928
Visa_delinquency	0.000185679331697545	0.000171407195049673	0.000145132614926889
Visa_msaldodolares	7.95471949911329e-05	0.00032240703277284	0.000507964152244113
cseguro_vida	6.93034500642899e-05	0.000528134269706736	0.000326548383585501
Visa_status	6.64587936855773e-05	4.23197050897946e-05	0.000181415768658612
ctarjeta_visa_descuentos	5.21495437508001e-05	0.00197157659672107	0.00130619353434201
mdescubierto_preacordado	5.00728859107813e-05	8.39038689262565e-05	7.25663074634447e-05
matm_other	4.59448739910551e-05	0.00015842306611673	0.000108849461195167
internet	3.26286752353354e-05	0.000168155946211804	7.25663074634447e-05
Master_mconsumosdolares	2.25696983356912e-05	5.89776278359254e-05	0.000181415768658612
Master_mconsumototal	9.37626302371696e-06	1.39009471972918e-05	3.62831537317224e-05
catm_trx_other	2.94583744108665e-06	2.97216048997356e-05	3.62831537317224e-05
Master_madelantopesos	1.45086098844606e-06	6.92634680221569e-06	3.62831537317224e-05
mcajeros_propios_descuentos	1.45346302115001e-13	5.4439181804724e-05	3.62831537317224e-05
mforex_sell	7.86176901145547e-20	3.26220370759976e-05	3.62831537317224e-05
