Feature	Gain	Cover	Frequency
ctrx_quarter	0.172728315311712	0.0321876107493588	0.0339644739410502
cpayroll_trx	0.0460022612361385	0.0114121400065828	0.0037087643958618
mpasivos_margen	0.0452692142555665	0.0311068844043043	0.0304509076712864
mrentabilidad_annual	0.0312333258034859	0.0383528203708348	0.037282842084716
mcuentas_saldo	0.0293630213266186	0.0340262514042671	0.0325980870583642
mpayroll	0.0266891980054658	0.0222684691574763	0.00956470817880148
Visa_Fvencimiento	0.0257263333448638	0.0273827144605596	0.0359164552020301
Master_Fvencimiento	0.0244342215764371	0.0303026718514162	0.037478040210814
Master_fechaalta	0.0241252139650199	0.0308132387335245	0.0314268983017763
mtarjeta_visa_consumo	0.0236122600266791	0.0173687413313683	0.019129416357603
mcaja_ahorro	0.0236000974548223	0.0111486833415933	0.0216669919968768
numero_de_cliente	0.0235134434009383	0.0265396678923656	0.0320124926800703
cliente_edad	0.023500402642404	0.0365894387408379	0.0400156158500878
mactivos_margen	0.0224802241401649	0.019948359457366	0.0208861994924849
chomebanking_trx	0.020582334867545	0.0244734157338741	0.0265469451493266
Visa_fechaalta	0.0198089389401399	0.0195307422415929	0.0263517470232286
Visa_mfinanciacion_limite	0.0188666277607962	0.0179928793903147	0.0247901620144447
mprestamos_personales	0.0183205613758519	0.013944916940778	0.00644153816123365
Master_mfinanciacion_limite	0.0175423760590871	0.0154813090861691	0.0242045676361507
mcuenta_corriente	0.0174135049507857	0.0274459126429274	0.0243997657622487
mcaja_ahorro_dolares	0.0171335520528684	0.0185525330581606	0.0242045676361507
mrentabilidad	0.0160730808420358	0.0177595959170738	0.0216669919968768
cliente_antiguedad	0.0153375487197562	0.018187871797018	0.0206910013663869
ctarjeta_visa_trx	0.0142204633086724	0.0170719592089654	0.0148350575834472
Visa_mpagominimo	0.0140463212522483	0.0135814733608539	0.0204958032402889
Visa_mconsumospesos	0.013176287543438	0.0165309502963981	0.0204958032402889
Visa_mpagospesos	0.0128076591928749	0.0103656352479768	0.0165918407183291
mcomisiones_otras	0.0127475913699009	0.0113800480444295	0.0158110482139371
Visa_msaldototal	0.0126454154603343	0.005904699639608	0.00800312317001757
Visa_msaldopesos	0.0125980488419761	0.017589737294133	0.019129416357603
ctarjeta_visa_trx2	0.0117869483386579	0.00762772910628635	0.0122974819441733
mcomisiones	0.0114006153377372	0.00906296936899701	0.0138590669529573
mtransferencias_recibidas	0.0104228330514282	0.00993439687086922	0.0158110482139371
ccomisiones_otras	0.0100030279040217	0.0117534491993385	0.0119070856919774
mtransferencias_emitidas	0.00977057169883791	0.0133793540926474	0.0148350575834472
mtarjeta_visa_debitos_automaticos	0.00921147383565063	0.0117110412105864	0.0119070856919774
ctransferencias_recibidas	0.00908887373422833	0.0103986338818597	0.00956470817880148
Master_mpagospesos	0.00714418089306206	0.0161858088341802	0.0103455006831934
mpagomiscuentas	0.00619274341355707	0.014211320288889	0.00800312317001757
mcomisiones_mantenimiento	0.00616715787139165	0.00739571602773642	0.00663673628733164
Visa_cconsumos	0.00603134936325941	0.00516045920456118	0.0107358969353894
cproductos	0.00587524225006797	0.011916238945596	0.0103455006831934
Visa_mpagado	0.00546003351126482	0.0106657910326297	0.0074175287917236
mautoservicio	0.0054417118860153	0.0103904580222507	0.0130782744485653
mcuenta_debitos_automaticos	0.00474407489467115	0.0107677441600944	0.00722233066562561
ctarjeta_debito_trx	0.00448490247519545	0.00727560838028878	0.0074175287917236
Master_fultimo_cierre	0.00425198847610788	0.00563376820419584	0.00566074565684169
Master_mlimitecompra	0.00421730278188467	0.00526049883296852	0.00546554753074371
ccaja_ahorro	0.00416246761556466	0.010340000686224	0.00390396252195979
Visa_mlimitecompra	0.00391438141410631	0.008750468089048	0.00566074565684169
Master_msaldopesos	0.00379677266011872	0.0102091658470908	0.00527034940464572
ctarjeta_debito	0.00373553280333974	0.00662012161915356	0.00761272691782159
ccuenta_debitos_automaticos	0.00342838467296011	0.00780290124727087	0.00507515127854773
Visa_mconsumosdolares	0.00320713600386743	0.00596962155253164	0.00507515127854773
thomebanking	0.00312192889875384	0.000859967592916707	0.00234237751317587
cpagomiscuentas	0.00303287183188212	0.00635494122360822	0.00507515127854773
ctransferencias_emitidas	0.0029228312179247	0.00302136229820578	0.00409916064805778
