Feature	Gain	Cover	Frequency
ctrx_quarter	0.231472974292901	0.0492477197287033	0.027891156462585
mpayroll	0.0715993379988247	0.0924682237204881	0.0224489795918367
mrentabilidad_annual	0.0389475667852955	0.02178996911672	0.0374149659863946
mprestamos_personales	0.0292715899514678	0.0200612839180594	0.0183673469387755
mpasivos_margen	0.0291331067291695	0.0140862873669388	0.0204081632653061
mcaja_ahorro	0.0289268763968146	0.00313449182017849	0.0136054421768707
mtarjeta_visa_consumo	0.0252320254491689	0.0150542974512971	0.00884353741496599
Master_fechaalta	0.0249469649066277	0.0215149525404243	0.0258503401360544
mcuentas_saldo	0.023491456266791	0.021578165239022	0.0319727891156463
cpayroll_trx	0.0217285717184524	0.0299807394549533	0.00748299319727891
chomebanking_trx	0.0216265057393544	0.0146130151661766	0.0346938775510204
mactivos_margen	0.0207517602883841	0.0225687209624347	0.0292517006802721
cliente_edad	0.0166941094781769	0.0125662107770121	0.0312925170068027
Visa_Fvencimiento	0.0166306398786467	0.00823420812051464	0.0285714285714286
ctarjeta_visa_trx	0.0162573562469812	0.0100891623046032	0.00884353741496599
mcuenta_corriente	0.0157243479982737	0.00848158450304384	0.0231292517006803
Visa_msaldototal	0.0157098925210654	0.000945263344459871	0.00340136054421769
Master_Fvencimiento	0.0151908629990544	0.0113938598907182	0.026530612244898
Master_mfinanciacion_limite	0.0148235196406839	0.00821724861601282	0.0217687074829932
mcaja_ahorro_dolares	0.014716385908797	0.0189289297551624	0.0292517006802721
Visa_mfinanciacion_limite	0.0129783173955862	0.00478517223594599	0.0163265306122449
Visa_msaldopesos	0.0113840986982526	0.0302359364258562	0.0156462585034014
numero_de_cliente	0.0112380182857209	0.0102095993655581	0.0204081632653061
Visa_fechaalta	0.0108029386357186	0.00745197052683908	0.0197278911564626
Visa_mpagominimo	0.0106593569639576	0.00894047428427428	0.0163265306122449
cliente_antiguedad	0.0105665572203101	0.00684810938169847	0.0204081632653061
ccomisiones_otras	0.010291620273377	0.0159418895426355	0.0142857142857143
mtransferencias_recibidas	0.0100102319917361	0.015573405763005	0.0190476190476191
Visa_mpagospesos	0.00970753057658252	0.00865564845570417	0.0156462585034014
Visa_mconsumospesos	0.00960854959499653	0.0145385184757825	0.0156462585034014
mcomisiones	0.00953631007344137	0.00246172011919649	0.00884353741496599
mrentabilidad	0.00931027244254287	0.00876719239045132	0.017687074829932
Master_mpagospesos	0.00921164708634823	0.0345006373332634	0.0197278911564626
mcomisiones_otras	0.00913138163990367	0.0112668982246058	0.0122448979591837
mtransferencias_emitidas	0.00814717585293694	0.00761410249609496	0.0156462585034014
mpagomiscuentas	0.0080744041788923	0.0230196113989857	0.0129251700680272
ctransferencias_recibidas	0.00699790459155704	0.0160706834608812	0.0115646258503401
mautoservicio	0.00688959368892849	0.00803355416738374	0.0108843537414966
mtarjeta_visa_debitos_automaticos	0.00617790718566805	0.00961125732135553	0.0115646258503401
cproductos	0.00613830128455671	0.00525603868965729	0.00952380952380953
Visa_mlimitecompra	0.00603874881847304	0.00929508210567599	0.0108843537414966
ccaja_ahorro	0.00597790712588291	0.00878486692017588	0.0102040816326531
Master_msaldopesos	0.00567549655898352	0.0112569772496403	0.00952380952380953
ctransferencias_emitidas	0.00559692271635468	0.0257125974886616	0.0136054421768707
mcomisiones_mantenimiento	0.00538840832589233	0.0074475909973498	0.00748299319727891
Visa_cconsumos	0.00528154258045404	0.00281302094894304	0.00952380952380953
ctarjeta_visa_trx2	0.00519131366806655	0.00241361232842914	0.00612244897959184
mcuenta_debitos_automaticos	0.00465078443110153	0.0124414612201825	0.0102040816326531
ccuenta_debitos_automaticos	0.00431023798325262	0.0140577310471057	0.00952380952380953
ccomisiones_mantenimiento	0.00423519442789243	0.0117231736948656	0.00748299319727891
Master_cconsumos	0.00406486643266085	0.00648221756850042	0.0054421768707483
Visa_mpagado	0.00400341661604275	0.0112474808209008	0.00952380952380953
ccallcenter_trx	0.00393874190221653	0.00761839264743139	0.00612244897959184
ctarjeta_debito_trx	0.00382399716598664	0.0106715503485234	0.00884353741496599
