fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220528 203308	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	999983	0.169664147	0.48160922	1774	520	0.040800642	9042000	1
20220528 203329	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	55	TRUE	999983	0.095777681	0.955905296	3672	643	0.026834351	11857000	2
20220528 203339	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	999983	0.185243559	0.643981573	2636	823	0.031301919	10957000	3
20220528 203351	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	38	TRUE	999983	0.157832348	0.305529836	5482	432	0.037382628	10477000	4
20220528 203409	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	134	TRUE	999983	0.065398157	0.724497426	4192	718	0.023017925	12717000	5
20220528 203421	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	63	TRUE	999983	0.105645317	0.692201796	7047	407	0.04946368	7534000	6
20220528 203431	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	999983	0.274884179	0.527461514	3271	42	0.019880175	12042000	7
20220528 203445	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	999983	0.148516868	0.226117703	691	728	0.027999655	9919000	8
20220528 203500	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	6	TRUE	999983	0.254977868	0.589602158	322	342	0.034342442	6888000	9
20220528 203546	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	345	TRUE	999983	0.016292424	0.628274165	7288	524	0.01497811	13238000	10
20220528 203559	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	999983	0.238836722	0.788749627	6396	811	0.008788113	11283000	11
20220528 203609	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	50	TRUE	999983	0.11632534	0.820285053	4992	219	0.0306211	11418000	12
20220528 203626	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	47	TRUE	999983	0.129208551	0.279593882	5637	150	0.013326271	12647000	13
20220528 203637	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	20	TRUE	999983	0.210641545	0.398928059	3080	952	0.044441201	8909000	14
20220528 203658	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	96	TRUE	999983	0.049174208	0.883066809	2066	1007	0.011273573	12905000	15
20220528 203709	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	999983	0.285611809	0.420207212	4473	67	0.047580022	8360000	16
20220528 203721	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	71	TRUE	999983	0.072977638	0.871651645	6511	905	0.043735429	8524000	17
20220528 203731	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	11	TRUE	999983	0.223206691	0.963082351	1207	176	0.018392841	11289000	18
20220528 203741	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	32	TRUE	999983	0.267129859	0.34412552	7775	615	0.022908691	12096000	19
20220528 203822	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	126	TRUE	999983	0.034126012	0.474170784	978	311	0.039248137	9430000	20
20220528 203919	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	332	TRUE	999983	0.013903854	0.605595114	4606	487	0.016312335	13692000	21
20220528 204026	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	603	TRUE	999983	0.011082965	0.702210594	5713	231	0.018653767	13264000	22
20220528 204204	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	526	TRUE	999983	0.010192806	0.429857196	4056	866	0.0156593	13712000	23
20220528 204326	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	338	TRUE	999983	0.010545127	0.411167403	3119	596	0.015697672	13641000	24
20220528 204513	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	818	TRUE	999983	0.010762537	0.62484772	3349	870	0.016056818	13685000	25
20220528 204650	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	544	TRUE	999983	0.010111384	0.574595254	4053	701	0.014675874	13627000	26
20220528 204834	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	698	TRUE	999983	0.010152013	0.361312516	5336	625	0.01716151	13593000	27
20220528 204853	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	73	TRUE	999983	0.088641677	0.401560924	3399	874	0.016293568	13939000	28
20220528 204906	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	999983	0.133498703	0.459533771	3053	1024	0.015849207	12762000	29
20220528 204924	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	49	TRUE	999983	0.08008119	0.462515522	4087	584	0.016703774	13234000	30
20220528 204950	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	183	TRUE	999983	0.058046886	0.200434805	3217	913	0.015235951	13110000	31
20220528 205008	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	71	TRUE	999983	0.093333517	0.568505738	5152	1023	0.016176691	13512000	32
20220528 205025	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	51	TRUE	999983	0.090108665	0.593834391	2454	1018	0.016562749	13424000	33
20220528 205043	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	66	TRUE	999983	0.095555104	0.381755882	3499	886	0.010391751	12645000	34
20220528 205057	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	47	TRUE	999983	0.096755008	0.33049495	4043	908	0.019014757	12985000	35
20220528 205136	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	323	TRUE	999983	0.023925322	0.998434315	4829	794	0.016143651	13087000	36
20220528 205259	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	371	TRUE	999983	0.010049221	0.554187782	5488	810	0.023640015	12436000	37
20220528 205442	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	568	TRUE	999983	0.010311699	0.534328081	5108	24	0.015614021	13805000	38
20220528 205541	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	426	TRUE	999983	0.010126655	0.780376203	2987	16	0.013466173	13360000	39
20220528 205714	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	482	TRUE	999983	0.010096278	0.549212958	5723	113	0.011477669	12954000	40
20220528 205825	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	167	TRUE	999983	0.010016747	0.522348723	501	38	0.016213233	13185000	41
20220528 205836	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	999983	0.213949131	0.306984722	7812	17	0.016173322	12930000	42
20220528 210016	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	569	TRUE	999983	0.010251627	0.398402254	3928	115	0.016324034	13699000	43
20220528 210025	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	999983	0.296702003	0.282609921	7292	97	0.014672927	12208000	44
20220528 210043	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	80	TRUE	999983	0.089152895	0.354118326	6928	883	0.015576676	12977000	45
20220528 210054	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	43	TRUE	999983	0.219829556	0.215318278	5090	782	0.016113421	12949000	46
20220528 210104	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	17	TRUE	999983	0.187016009	0.565928465	6365	65	0.022450513	12746000	47
20220528 210118	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	61	TRUE	999983	0.089477588	0.684879361	3446	871	0.015130582	13565000	48
20220528 210149	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	107	TRUE	999983	0.035267779	0.495744343	3481	852	0.016180741	13517000	49
20220528 210203	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	92	TRUE	999983	0.185392681	0.20755214	3968	17	0.015757768	12671000	50
20220528 210228	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	34	TRUE	999983	0.08771965	0.38162709	364	865	0.014197787	12007000	51
20220528 210332	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	635	TRUE	999983	0.010137783	0.933965147	2132	16	0.022410776	12518000	52
20220528 210340	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	29	TRUE	999983	0.193930231	0.988620744	7991	881	0.02434649	12552000	53
20220528 210350	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	46	TRUE	999983	0.188959904	0.989933554	6960	364	0.016281012	12936000	54
20220528 210359	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	44	TRUE	999983	0.272761688	0.997027882	6606	974	0.017346839	12902000	55
20220528 210406	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	26	TRUE	999983	0.252205166	0.905936813	7967	60	0.018559268	12876000	56
20220528 210415	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	32	TRUE	999983	0.216800181	0.658318808	8000	973	0.017859843	13274000	57
20220528 210428	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	44	TRUE	999983	0.180012462	0.37683015	6863	819	0.016876973	12723000	58
20220528 210438	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	54	TRUE	999983	0.223738891	0.99332244	5920	875	0.020409502	12495000	59
20220528 210545	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	666	TRUE	999983	0.010068926	0.81228565	7978	17	0.016360491	12991000	60
20220528 210558	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	999983	0.244166643	0.646242685	7974	617	0.016342661	13362000	61
20220528 210705	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	405	TRUE	999983	0.010067854	0.808124308	3521	949	0.008389066	11316000	62
20220528 210716	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	44	TRUE	999983	0.261680775	0.350435939	7996	1021	0.016535929	12865000	63
20220528 210725	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	999983	0.236402998	0.735461749	5623	18	0.014580686	12615000	64
20220528 210831	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	524	TRUE	999983	0.010055507	0.734123533	5426	215	0.0151753	13242000	65
20220528 210955	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	794	TRUE	999983	0.016343777	0.241377499	4800	16	0.013816094	13476000	66
20220528 211013	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	87	TRUE	999983	0.097948669	0.348099559	3430	17	0.016006494	13562000	67
20220528 211055	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	177	TRUE	999983	0.020080219	0.437857356	7492	16	0.021798261	12731000	68
20220528 211104	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	31	TRUE	999983	0.124484028	0.936481459	7988	25	0.022648519	12347000	69
20220528 211119	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	20	TRUE	999983	0.299996508	0.591603273	3546	870	0.016097162	12040000	70
20220528 211139	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	87	TRUE	999983	0.092370758	0.403151001	3562	953	0.016015581	13490000	71
20220528 211154	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	53	TRUE	999983	0.082150746	0.928235517	2331	1024	0.016682017	13367000	72
20220528 211220	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	114	TRUE	999983	0.055002414	0.37479721	3262	778	0.016212972	13384000	73
20220528 211230	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	46	TRUE	999983	0.129968056	0.834278953	3293	16	0.01699391	12896000	74
20220528 211249	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	88	TRUE	999983	0.086013591	0.358795766	4781	934	0.017030877	13381000	75
20220528 211303	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	56	TRUE	999983	0.088235887	0.74028658	3201	837	0.016562081	13349000	76
20220528 211423	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	406	TRUE	999983	0.010239964	0.419476924	2512	16	0.016037833	13473000	77
20220528 211439	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	50	TRUE	999983	0.086881527	0.513743307	5087	23	0.017331503	13317000	78
20220528 211620	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	755	TRUE	999983	0.010024242	0.26147227	4928	394	0.015606665	13444000	79
20220528 211641	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	60	TRUE	999983	0.090532511	0.527987519	1955	17	0.012590667	13180000	80
20220528 211655	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	67	TRUE	999983	0.079547816	0.989864422	7375	1023	0.015613376	12998000	81
20220528 211736	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	303	TRUE	999983	0.010090358	0.99819642	33	16	0.01168421	13088000	82
20220528 211747	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	999983	0.226784028	0.51638836	7997	333	0.017384783	12826000	83
20220528 211756	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	46	TRUE	999983	0.23396029	0.87554754	7998	870	0.015587973	13112000	84
20220528 211805	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	31	TRUE	999983	0.299331501	0.657154589	7997	872	0.017807039	12876000	85
20220528 211936	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	464	TRUE	999983	0.010295951	0.522945987	4381	17	0.01753163	13544000	86
20220528 212106	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1086	TRUE	999983	0.010086688	0.999756018	7999	558	0.021418215	12623000	87
20220528 212312	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1059	TRUE	999983	0.010029657	0.31340935	6351	51	0.017168216	13688000	88
20220528 212320	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	16	TRUE	999983	0.298396995	0.999634095	7981	371	0.015963662	12550000	89
20220528 212327	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	999983	0.263416124	0.696669903	7998	1022	0.028365014	11675000	90
20220528 212337	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	51	TRUE	999983	0.180476392	0.995735448	7998	16	0.012119177	12225000	91
20220528 212459	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	414	TRUE	999983	0.010005001	0.999863984	1834	463	0.015281425	13286000	92
20220528 212628	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	523	TRUE	999983	0.010053216	0.3964424	7037	38	0.015249369	13547000	93
20220528 212651	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	88	TRUE	999983	0.093833637	0.200546722	3323	78	0.022945705	12717000	94
20220528 212707	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	105	TRUE	999983	0.04147708	0.999976247	1433	16	0.015439396	13038000	95
20220528 212726	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	59	TRUE	999983	0.085540531	0.461736968	3178	862	0.015821875	13874000	96
20220528 212903	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	588	TRUE	999983	0.01011634	0.574609269	5332	654	0.016162609	13669000	97
20220528 213056	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	589	TRUE	999983	0.010040091	0.533237408	3435	461	0.022167545	12974000	98
20220528 213219	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	622	TRUE	999983	0.010057162	0.202100743	5978	19	0.029998449	11715000	99
20220528 213335	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	703	TRUE	999983	0.010049664	0.997971014	5692	30	0.016362315	12779000	100
20220528 213343	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	31	TRUE	999983	0.18806684	0.803565441	7997	502	0.021526804	12826000	101
20220528 213453	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	432	TRUE	999983	0.016622935	0.388601628	4874	60	0.01601491	13871000	102
20220528 213514	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	110	TRUE	999983	0.090412744	0.413038885	4273	853	0.016221988	13259000	103
20220528 213533	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	61	TRUE	999983	0.086842467	0.420043909	2238	874	0.014896654	13058000	104
20220528 213549	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	74	TRUE	999983	0.07849471	0.616090832	5891	939	0.017177184	13428000	105
20220528 213609	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	92	TRUE	999983	0.085318806	0.259210911	3159	300	0.017004887	13421000	106
20220528 213625	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	55	TRUE	999983	0.085201625	0.586482683	3319	18	0.013553448	13201000	107
20220528 213636	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	82	TRUE	999983	0.121551834	0.99848832	617	16	0.009952934	12320000	108
20220528 213657	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	90	TRUE	999983	0.084639179	0.216591901	7891	17	0.01654311	12912000	109
20220528 213709	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	28	TRUE	999983	0.173180571	0.593510948	3294	599	0.017058884	12523000	110
20220528 213720	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	56	TRUE	999983	0.135427039	0.665678685	7999	885	0.016180924	13112000	111
20220528 213821	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	38	TRUE	999983	0.039084055	0.998995821	169	1024	0.014276981	11204000	112
20220528 213909	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	304	TRUE	999983	0.010087166	0.90545701	1545	17	0.012179373	13020000	113
20220528 213924	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	66	TRUE	999983	0.083965696	0.997771625	3092	1022	0.012214991	12818000	114
20220528 213940	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	31	TRUE	999983	0.08901039	0.200891346	6	16	0.01118361	11257000	115
20220528 213956	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	53	TRUE	999983	0.124648102	0.477234711	2969	16	0.017605746	12920000	116
20220528 214051	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	563	TRUE	999983	0.010274773	0.655948771	7	17	0.011251994	13362000	117
20220528 214102	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	56	TRUE	999983	0.240694439	0.220740466	5729	18	0.018137503	12709000	118
20220528 214249	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1027	TRUE	999983	0.010436146	0.20169381	7924	979	0.015880882	13471000	119
