fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220528 220252	0	0	0	1	hist	lossguide	256	0	1	0.140143677159795	0.749758435301483	2	561	0.0370707246077169	10	5863000	1
20220528 220350	0	0	0	1	hist	lossguide	256	0	1	0.0576818325715139	0.507118974551559	6	823	0.0186184291781198	55	12638000	2
20220528 220423	0	0	0	1	hist	lossguide	256	0	1	0.210399690591847	0.343207854051143	7	170	0.0478089103649836	16	6607000	3
20220528 220451	0	0	0	1	hist	lossguide	256	0	1	0.125577295914292	0.786246585827321	0	447	0.0150283399469724	2	1084000	4
20220528 220548	0	0	0	1	hist	lossguide	256	0	1	0.0528601705452893	0.306462536584586	7	251	0.0322704066139219	59	10018000	5
20220528 220624	0	0	0	1	hist	lossguide	256	0	1	0.187411474247114	0.405102395573631	4	983	0.0242711870392668	15	9281000	6
20220528 220649	0	0	0	1	hist	lossguide	256	0	1	0.248273706958396	0.58150302041322	7	115	0.030432021857996	12	9997000	7
20220528 220722	0	0	0	1	hist	lossguide	256	0	1	0.181758947285474	0.950507531389594	4	377	0.0212115365987605	14	10231000	8
20220528 220747	0	0	0	1	hist	lossguide	256	0	1	0.240285114928964	0.816836591120809	8	703	0.0451750210442697	8	7501000	9
20220528 220827	0	0	0	1	hist	lossguide	256	0	1	0.102568046891014	0.712935166805983	3	909	0.00889361109439051	6	11610000	10
20220528 220921	0	0	0	1	hist	lossguide	256	0	1	0.0852297485177405	0.458155936356634	1	772	0.0334058171497115	14	5133000	11
20220528 220943	0	0	0	1	hist	lossguide	256	0	1	0.289461407392635	0.228074518861249	3	46	0.0204943966246598	5	9911000	12
20220528 221007	0	0	0	1	hist	lossguide	256	0	1	0.257855242610327	0.363572850348428	9	966	0.0267468518102154	12	10273000	13
20220528 221036	0	0	0	1	hist	lossguide	256	0	1	0.151650380887673	0.67596621600911	10	88	0.0384772944191354	17	7996000	14
