fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220529 194012	0	0	0	1	hist	lossguide	256	0	1	0.121259086397942	0.775464942390099	8	669	0.027611381507207	18	10389000	1
20220529 194046	0	0	0	1	hist	lossguide	256	0	1	0.251814279064536	0.58539838667959	4	786	0.0384035133727593	4	7386000	2
20220529 194120	0	0	0	1	hist	lossguide	256	0	1	0.162015109592001	0.919327256958932	7	593	0.0346466171128365	21	8852000	3
20220529 194152	0	0	0	1	hist	lossguide	256	0	1	0.134671591560589	0.490997248664498	8	723	0.0163655717769871	14	12191000	4
20220529 194641	0	0	0	1	hist	lossguide	256	0	1	0.010662819226156	0.451055702324957	2	431	0.042409162230615	231	5214000	5
20220529 194713	0	0	0	1	hist	lossguide	256	0	1	0.222314115935937	0.541800880134106	3	319	0.0141746306340792	3	10040000	6
20220529 194742	0	0	0	1	hist	lossguide	256	0	1	0.207863038434065	0.62554310625419	6	551	0.0326287674489625	10	9083000	7
20220529 194839	0	0	0	1	hist	lossguide	256	0	1	0.0662521614378784	0.41563747339882	3	893	0.0253268668922829	29	9152000	8
20220529 194906	0	0	0	1	hist	lossguide	256	0	1	0.141937380928313	0.833791375933215	0	375	0.0294816629553679	2	1017000	9
20220529 194943	0	0	0	1	hist	lossguide	256	0	1	0.101364869149867	0.921220397967845	10	987	0.0181447571817747	26	13089000	10
20220529 195030	0	0	0	1	hist	lossguide	256	0	1	0.0945701986460481	0.72609256378375	5	80	0.0475380555003843	36	6007000	11
20220529 195128	0	0	0	1	hist	lossguide	256	0	1	0.049357556352159	0.36798893599771	6	261	0.02194719658825	36	11031000	12
20220529 195202	0	0	0	1	hist	lossguide	256	0	1	0.187020714947837	0.33930691874586	2	237	0.0371429616881263	9	7035000	13
20220529 200319	0	0	0	1	hist	lossguide	256	0	1	0.0263086525417166	0.854283133782446	0	504	0.00912931740507095	293	1054000	14
20220529 200347	0	0	0	1	hist	lossguide	256	0	1	0.267678296956001	0.204633826063946	4	831	0.0450286080139146	5	6718000	15
20220529 200412	0	0	0	1	hist	lossguide	256	0	1	0.240669043167145	0.27223222438246	9	132	0.0498198918028114	10	6524000	16
20220529 200438	0	0	0	1	hist	lossguide	256	0	1	0.296330873125582	0.993469047211111	6	196	0.0239820320668514	7	9642000	17
20220529 200506	0	0	0	1	hist	lossguide	256	0	1	0.176507284198073	0.310573683334515	10	22	0.0114956682436362	29	11891000	18
20220529 200541	0	0	0	1	hist	lossguide	256	0	1	0.283455235330737	0.660429103905335	1	924	0.0188362376871131	3	7939000	19
20220529 200626	0	0	0	1	hist	lossguide	256	0	1	0.0781343046308029	0.693184359157458	9	631	0.0407833816837713	38	7929000	20
20220529 200659	0	0	0	1	hist	lossguide	256	0	1	0.218552480540523	0.960788343681033	10	1024	0.00833615262525825	18	11021000	21
20220529 201041	0	0	0	1	hist	lossguide	256	0	1	0.0102314291499793	0.364635196733235	10	1024	0.0159760846590273	345	13281000	22
20220529 201415	0	0	0	1	hist	lossguide	256	0	1	0.0100256922082834	0.709573632145936	10	857	0.0150386679347802	285	13094000	23
20220529 201756	0	0	0	1	hist	lossguide	256	0	1	0.0104280664209607	0.771540448055944	9	1024	0.0172072584647435	292	12983000	24
20220529 201832	0	0	0	1	hist	lossguide	256	0	1	0.160550822873666	0.202694365430432	6	1023	0.0121019882162679	10	11524000	25
20220529 201948	0	0	0	1	hist	lossguide	256	0	1	0.0358366621033458	0.58765515395358	10	1024	0.0176316270720794	91	13072000	26
20220529 202340	0	0	0	1	hist	lossguide	256	0	1	0.0103489470623738	0.200007173002785	10	531	0.0155826572357413	399	13217000	27
20220529 202434	0	0	0	1	hist	lossguide	256	0	1	0.0607407540973316	0.200320520395798	10	865	0.0156892643692284	67	12693000	28
20220529 202807	0	0	0	1	hist	lossguide	256	0	1	0.0102950890949974	0.996909828163423	10	461	0.016158482802226	256	13324000	29
20220529 203157	0	0	0	1	hist	lossguide	256	0	1	0.0100254899513678	0.401447961769513	10	350	0.0153200876341148	350	13227000	30
20220529 203549	0	0	0	1	hist	lossguide	256	0	1	0.0105648888309896	0.945754479804039	10	1012	0.0171656715201449	357	12792000	31
20220529 203627	0	0	0	1	hist	lossguide	256	0	1	0.106940114070674	0.942264203656441	10	468	0.0165972188370112	26	12953000	32
20220529 204300	0	0	0	1	hist	lossguide	256	0	1	0.0100982183386718	0.937422702392823	10	2	0.0134818888738469	2989	12828000	33
20220529 204643	0	0	0	1	hist	lossguide	256	0	1	0.0101632196783388	0.423552647008316	9	491	0.0115977368610385	306	12836000	34
20220529 205026	0	0	0	1	hist	lossguide	256	0	1	0.0100063685009812	0.412606713582925	10	591	0.0171021494037919	342	13416000	35
20220529 205423	0	0	0	1	hist	lossguide	256	0	1	0.0101825473820177	0.331453051933564	9	990	0.0182047174092234	385	13089000	36
20220529 205458	0	0	0	1	hist	lossguide	256	0	1	0.15901910543611	0.452671108641009	10	1024	0.0182358793210763	18	12271000	37
20220529 205923	0	0	0	1	hist	lossguide	256	0	1	0.0102318880946151	0.492120866660796	7	992	0.0155068441499704	418	12884000	38
20220529 210327	0	0	0	1	hist	lossguide	256	0	1	0.0100464966712317	0.797239757908739	10	531	0.0159596714138104	391	13350000	39
20220529 210653	0	0	0	1	hist	lossguide	256	0	1	0.0100191494958752	0.43083300700182	10	586	0.0146044094417642	264	13415000	40
20220529 210742	0	0	0	1	hist	lossguide	256	0	1	0.099256922272797	0.997782207462515	7	1016	0.0158466620240435	30	12102000	41
20220529 210843	0	0	0	1	hist	lossguide	256	0	1	0.0491249679693174	0.999594618966563	10	614	0.016180782782844	58	13038000	42
20220529 211319	0	0	0	1	hist	lossguide	256	0	1	0.0100374440503739	0.997639009160133	10	271	0.019161185838903	496	12517000	43
20220529 211654	0	0	0	1	hist	lossguide	256	0	1	0.0100064136683481	0.569543367861572	10	480	0.0154132138487229	292	13586000	44
20220529 211718	0	0	0	1	hist	lossguide	256	0	1	0.299781862466773	0.200624988217981	5	2	0.0147689819103052	97	12584000	45
20220529 211749	0	0	0	1	hist	lossguide	256	0	1	0.299966758649735	0.322570967311266	10	2	0.0162224954225038	126	12890000	46
20220529 211811	0	0	0	1	hist	lossguide	256	0	1	0.299782511282272	0.548019785532893	8	2	0.0146393377740496	79	12999000	47
20220529 211836	0	0	0	1	hist	lossguide	256	0	1	0.299924751109185	0.999714306251062	10	1023	0.0182752897984034	9	12096000	48
20220529 211903	0	0	0	1	hist	lossguide	256	0	1	0.299940839779803	0.201822886778167	7	425	0.0152826146288523	12	10791000	49
20220529 211930	0	0	0	1	hist	lossguide	256	0	1	0.29978528384681	0.986934551505213	10	2	0.0154562935129414	129	12891000	50
20220529 212212	0	0	0	1	hist	lossguide	256	0	1	0.0101340747212683	0.430668228216351	9	3	0.0167430472539048	709	13412000	51
20220529 212426	0	0	0	1	hist	lossguide	256	0	1	0.022492556337705	0.486943689871253	10	2	0.0172666544665919	895	13225000	52
20220529 212506	0	0	0	1	hist	lossguide	256	0	1	0.241476788486078	0.591424630208116	9	2	0.0167771948341352	240	13180000	53
20220529 212732	0	0	0	1	hist	lossguide	256	0	1	0.0216666671249172	0.620551275191825	8	2	0.0155462103305821	999	12953000	54
20220529 213038	0	0	0	1	hist	lossguide	256	0	1	0.0101687770971234	0.204846798797556	7	3	0.0155997049283504	872	12852000	55
20220529 213413	0	0	0	1	hist	lossguide	256	0	1	0.0102025157465465	0.508360831281121	9	111	0.0156244867960909	278	13471000	56
20220529 213741	0	0	0	1	hist	lossguide	256	0	1	0.0102807021516975	0.466083858754016	9	957	0.0146319300057569	265	13544000	57
20220529 213818	0	0	0	1	hist	lossguide	256	0	1	0.299772108597159	0.613856083843787	10	2	0.015882262711761	166	13105000	58
20220529 214201	0	0	0	1	hist	lossguide	256	0	1	0.0101091616812386	0.497503101892446	9	921	0.0159440227553172	306	13392000	59
20220529 214538	0	0	0	1	hist	lossguide	256	0	1	0.0100402784471778	0.504366297637771	9	481	0.0157831089618156	275	13348000	60
