fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	prob_corte	ganancia	iteracion
20220530 200643	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	13	TRUE	0.243896360586264	0.525598546589858	5097	571	78.1887292886885	29.2416816319539	0.0268033732263055	10150000	1
20220530 200702	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	77	TRUE	0.14358661275199	0.501121344111328	4341	346	39.9642490565644	74.2538741997643	0.0259000411016002	11667000	2
20220530 200712	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	134	TRUE	0.101271360138531	0.749638117876436	6760	703	30.9212924563326	79.4263117273139	0.0368109676729849	10397000	3
20220530 200728	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	78	TRUE	0.0756913573175968	0.426004042689289	6567	83	66.8530932095434	60.6786650921484	0.019839570386241	10919000	4
20220530 200733	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	17	TRUE	0.227106783083208	0.902135980934171	449	834	57.6196299857527	41.0441407975408	0.0246812698102163	11046000	5
20220530 200748	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	100	TRUE	0.0848558196487803	0.203881985946958	5418	444	33.0321117969496	38.6851581295819	0.0393798908039268	8853000	6
20220530 200753	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	17	TRUE	0.258868197177903	0.686593867326155	2612	548	87.4790994650019	28.2165153791928	0.0160676897813876	10964000	7
20220530 200803	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	40	TRUE	0.294038844928312	0.467956837233422	7790	93	46.9559669860506	56.8290326935572	0.0436806845192526	4286000	8
20220530 200817	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	83	TRUE	0.121589763344049	0.626306932931766	1848	881	7.80271809697816	35.194416250202	0.0358973533538076	10573000	9
20220530 200827	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	1	TRUE	0.144709930906205	0.661086181737483	3542	241	97.6814719848335	88.6196078932179	0.0324757374105199	0	10
20220530 200837	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	32	TRUE	0.160492469582407	0.312537327761363	4741	499	43.2786494169185	64.4565240030975	0.0179337141597422	11901000	11
20220530 200843	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	34	TRUE	0.165528794669829	0.79020033441484	694	393	70.0995879189577	23.7042536194037	0.0410191294766264	5895000	12
20220530 200903	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	52	TRUE	0.0359239932591195	0.549364656509299	2376	740	53.2113679892583	47.6923843737625	0.0129323228987882	12081000	13
20220530 200908	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	5	TRUE	0.19146356878877	0.637695203535259	2872	46	61.175582161273	44.0456119091583	0.0100092531122971	11940000	14
20220530 200921	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	138	TRUE	0.0631160736132214	0.726388085680082	5477	481	22.5480426094561	6.3573990308214	0.046132579792521	6564000	15
20220530 200930	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	16	TRUE	0.10497541470528	0.327665762656501	6940	920	90.1661438609673	14.5567835840796	0.0113692452119375	11748000	16
