fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	experimento	cols	rows	iteracion
20220602 154408	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	112	TRUE	0.0926902147743385	0.434675926407799	13591	1361	0.0272661323178909	120647000	HT6010	165	1658475	1
20220602 154724	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	60	TRUE	0.164218582547619	0.450720503451303	12787	1092	0.0307779057363708	113120000	HT6010	165	1658475	2
20220602 154955	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	35	TRUE	0.204165522953146	0.657901333644986	10002	506	0.0200719523214502	121527000	HT6010	165	1658475	3
20220602 155336	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	70	TRUE	0.107736100076465	0.851640754425898	11831	1018	0.0258035665499241	121807000	HT6010	165	1658475	4
20220602 155920	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	123	TRUE	0.0785185493832687	0.562164141749963	15484	1222	0.0373327185860641	109179000	HT6010	165	1658475	5
20220602 160206	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.29333987554803	0.929846789985895	2704	1857	0.0344626483808194	90590000	HT6010	165	1658475	6
20220602 160541	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	51	TRUE	0.13480206463777	0.514749060822651	5785	1494	0.0413648896535354	98914000	HT6010	165	1658475	7
20220602 160843	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	63	TRUE	0.177939199023647	0.608390597449616	14957	99	0.0317370554000566	114737000	HT6010	165	1658475	8
20220602 161931	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	399	TRUE	0.0338857633818407	0.917868426442146	16849	1740	0.0485429227313337	97070000	HT6010	165	1658475	9
20220602 162402	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	69	TRUE	0.0661979006540496	0.274059151662514	1529	297	0.0137264821552283	126417000	HT6010	165	1658475	10
20220602 162651	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	69	TRUE	0.154635079110856	0.212465319437906	8079	846	0.0232631956479357	120759000	HT6010	165	1658475	11
20220602 162938	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	36	TRUE	0.226658722371561	0.757966430746019	9514	815	0.0463709624236799	96299000	HT6010	165	1658475	12
20220602 163359	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	111	TRUE	0.193717245476902	0.778263417892158	6595	2026	0.00862194000413486	118491000	HT6010	165	1658475	13
20220602 163735	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	84	TRUE	0.113573232811992	0.717600928032771	18067	1255	0.0174255022323147	130399000	HT6010	165	1658475	14
20220602 164001	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.246722477965872	0.813216037834063	4256	537	0.0156459582227399	117277000	HT6010	165	1658475	15
20220602 164200	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	0.275116806193371	0.280500277308747	19999	215	0.0124016935917704	120489000	HT6010	165	1658475	16
20220602 164351	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1	TRUE	0.269552560407552	0.325578366126865	487	693	0.0456922120715414	82235000	HT6010	165	1658475	17
20220602 170430	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	438	TRUE	0.0129992923868122	0.381829653019086	3763	1635	0.0211457804442034	130372000	HT6010	165	1658475	18
